model,session,n_seeds,accuracy_mean,accuracy_std,balanced_accuracy_mean,balanced_accuracy_std,macro_f1_mean,macro_f1_std,auc_mean,auc_std,nll_mean,nll_std,brier_mean,brier_std,ece_mean,ece_std
deepconvnet,ses-01,5,0.744408,0.003958,0.744408,0.003958,0.734487,0.004106,0.805347,0.006247,0.559185,0.011055,0.342611,0.005228,0.183461,0.002694
deepconvnet,ses-02,5,0.766857,0.002473,0.766857,0.002473,0.759868,0.002729,0.826678,0.002410,0.516707,0.004975,0.315290,0.003823,0.171554,0.002410
deepconvnet,ses-03,5,0.787200,0.001798,0.787200,0.001798,0.780696,0.002189,0.842586,0.002324,0.487357,0.003524,0.289003,0.001940,0.157953,0.002369
eegnet,ses-01,5,0.779367,0.004252,0.779367,0.004252,0.773757,0.004825,0.834547,0.003656,0.476652,0.006471,0.293738,0.003692,0.155874,0.001298
eegnet,ses-02,5,0.817449,0.001462,0.817449,0.001462,0.814855,0.001533,0.868780,0.001952,0.404890,0.009385,0.245779,0.003692,0.139490,0.002120
eegnet,ses-03,5,0.822820,0.003532,0.822820,0.003532,0.818929,0.003582,0.874782,0.003301,0.395724,0.008000,0.238396,0.003313,0.132100,0.001907
fbcnet,ses-01,5,0.708714,0.003815,0.708714,0.003815,0.701756,0.003773,0.760914,0.003900,0.551164,0.003710,0.370847,0.003892,0.193513,0.002091
fbcnet,ses-02,5,0.715959,0.003613,0.715959,0.003613,0.709477,0.003930,0.764763,0.004356,0.538018,0.004573,0.362932,0.002970,0.191099,0.002255
fbcnet,ses-03,5,0.735920,0.003470,0.735920,0.003470,0.729729,0.003574,0.791280,0.002564,0.514856,0.002415,0.341339,0.002854,0.185165,0.001432
