model,protocol,n_seeds,accuracy_mean,accuracy_std,accuracy_median,accuracy_min,accuracy_max,balanced_accuracy_mean,balanced_accuracy_std,balanced_accuracy_median,balanced_accuracy_min,balanced_accuracy_max,macro_f1_mean,macro_f1_std,macro_f1_median,macro_f1_min,macro_f1_max,auc_mean,auc_std,auc_median,auc_min,auc_max,nll_mean,nll_std,nll_median,nll_min,nll_max,brier_mean,brier_std,brier_median,brier_min,brier_max,ece_mean,ece_std,ece_median,ece_min,ece_max
deepconvnet,within_session,5,0.766297,0.001694,0.766858,0.763041,0.767804,0.766297,0.001694,0.766858,0.763041,0.767804,0.758501,0.002096,0.759024,0.754599,0.760856,0.824990,0.002666,0.825787,0.819892,0.827459,0.520855,0.005557,0.521946,0.511102,0.528268,0.315455,0.002956,0.315094,0.312169,0.320531,0.170901,0.001970,0.170673,0.168676,0.174515
eegnet,within_session,5,0.806655,0.002174,0.807601,0.802973,0.809324,0.806655,0.002174,0.807601,0.802973,0.809324,0.802624,0.002413,0.803343,0.798541,0.805604,0.859474,0.001500,0.860223,0.857152,0.860936,0.425553,0.001637,0.426067,0.423647,0.427894,0.259163,0.001077,0.258464,0.258229,0.261067,0.142418,0.001378,0.143066,0.140476,0.143851
fbcnet,within_session,5,0.720304,0.003058,0.722264,0.714730,0.722838,0.720304,0.003058,0.722264,0.714730,0.722838,0.713762,0.003156,0.715745,0.708005,0.716398,0.772447,0.003448,0.773959,0.767382,0.776895,0.534546,0.002996,0.534925,0.529450,0.537656,0.358258,0.002845,0.357486,0.354076,0.361619,0.189893,0.001653,0.190481,0.186955,0.191893
deepconvnet,cross_session,5,0.681104,0.002398,0.681354,0.676719,0.683767,0.681104,0.002398,0.681354,0.676719,0.683767,0.666368,0.003588,0.668047,0.659211,0.668624,0.740961,0.002590,0.741969,0.736397,0.743604,0.873862,0.015517,0.874521,0.848848,0.896997,0.447191,0.003399,0.447372,0.442771,0.452949,0.159867,0.002731,0.159378,0.156941,0.163213
eegnet,cross_session,5,0.710542,0.007996,0.707517,0.702118,0.721927,0.710542,0.007996,0.707517,0.702118,0.721927,0.704857,0.008456,0.702322,0.694625,0.717497,0.760593,0.008340,0.755092,0.751664,0.771350,0.821560,0.023322,0.830020,0.781256,0.847323,0.405078,0.010734,0.408171,0.391196,0.418279,0.137413,0.003503,0.139026,0.132179,0.141820
fbcnet,cross_session,5,0.627993,0.002760,0.627743,0.623420,0.631406,0.627993,0.002760,0.627743,0.623420,0.631406,0.593515,0.004364,0.594142,0.585384,0.597551,0.689861,0.003595,0.691491,0.683273,0.693341,0.885969,0.016942,0.882575,0.870560,0.918091,0.513512,0.003890,0.512971,0.509360,0.520536,0.186088,0.002307,0.186044,0.182980,0.190071
