model,n_seeds,accuracy_mean,accuracy_std,balanced_accuracy_mean,balanced_accuracy_std,macro_f1_mean,macro_f1_std,auc_mean,auc_std,nll_mean,nll_std,brier_mean,brier_std,ece_mean,ece_std
deepconvnet,5,0.7662974,0.0016936831580906912,0.7662974,0.0016936831580906912,0.7585011999999999,0.0020958938331890695,0.8249898,0.002666144737256412,0.5208548000000001,0.005557081046736685,0.31545460000000003,0.002955417845246259,0.1709012,0.001969886433274774
eegnet,5,0.8066554,0.0021740443969707657,0.8066554,0.0021740443969707657,0.8026240000000001,0.0024128417270927825,0.8594738,0.0014997485655935767,0.4255528,0.00163729660110806,0.2591628,0.001077674978831744,0.1424184,0.0013778717792305665
fbcnet,5,0.7203044,0.0030576927641605936,0.7203044,0.0030576927641605936,0.7137624,0.0031561508582448865,0.7724472,0.0034477371941608213,0.5345458000000001,0.002995594325004647,0.358258,0.0028452064248486505,0.1898932,0.00165360217706678
