model,subject,single_best_train_sessions,single_best_acc,multisource_acc,gain,ses01_within_acc,ses02_within_acc,ses03_within_acc,drift_level,drift_score
eegnet,sub-003,ses-01,0.828,0.9030000000000001,0.07500000000000018,0.862,0.897,0.853,moderate,-0.231727
eegnet,sub-004,ses-01,0.496,0.483,-0.013000000000000012,0.523,0.495,0.548,moderate,0.021872
eegnet,sub-005,ses-01,0.71,0.769,0.05900000000000005,0.909,0.846,0.6859999999999999,stable,-1.084483
eegnet,sub-006,ses-01,0.9570000000000001,0.943,-0.014000000000000123,0.925,0.968,0.9790000000000001,moderate,-0.063075
eegnet,sub-007,ses-02,0.8720000000000001,0.892,0.019999999999999907,0.611,0.845,0.878,high,0.110273
eegnet,sub-008,ses-02,0.8150000000000001,0.852,0.03699999999999992,0.715,0.862,0.91,moderate,-0.281448
eegnet,sub-009,ses-01,0.635,0.629,-0.006000000000000005,0.748,0.741,0.523,stable,-0.323885
eegnet,sub-010,ses-02,0.54,0.5660000000000001,0.026000000000000023,0.741,0.91,0.765,moderate,-0.304098
eegnet,sub-011,ses-01,0.9349999999999999,0.93,-0.004999999999999893,0.929,0.759,0.982,stable,-0.355012
eegnet,sub-012,ses-01,0.561,0.5349999999999999,-0.026000000000000134,0.502,0.499,0.574,moderate,-0.293627
eegnet,sub-013,ses-01,0.767,0.796,0.029000000000000026,0.7859999999999999,0.825,0.856,high,1.321363
eegnet,sub-014,ses-01,0.499,0.51,0.01100000000000001,0.521,0.491,0.499,high,0.735637
eegnet,sub-015,ses-02,0.5900000000000001,0.606,0.015999999999999903,0.727,0.7609999999999999,0.5760000000000001,high,0.518046
eegnet,sub-016,ses-01,0.539,0.59,0.050999999999999934,0.72,0.5589999999999999,0.523,stable,-0.899544
eegnet,sub-017,ses-02,0.7230000000000001,0.748,0.02499999999999991,0.728,0.807,0.8059999999999999,stable,-0.339527
eegnet,sub-018,ses-02,0.627,0.631,0.0040000000000000036,0.6809999999999999,0.7090000000000001,0.619,moderate,-0.020414
eegnet,sub-019,ses-02,0.8039999999999999,0.8150000000000001,0.01100000000000012,0.568,0.757,0.9159999999999999,high,0.440742
eegnet,sub-020,ses-01,0.572,0.503,-0.06899999999999995,0.964,0.972,0.95,high,1.873967
eegnet,sub-021,ses-02,0.713,0.789,0.07600000000000007,0.773,0.7859999999999999,0.8759999999999999,moderate,-0.065789
eegnet,sub-022,ses-02,0.74,0.807,0.06700000000000006,0.767,0.7959999999999999,0.7659999999999999,high,0.489955
eegnet,sub-023,ses-02,0.899,,,,0.9109999999999999,0.96,moderate,-0.259521
eegnet,sub-025,ses-01,0.813,0.8469999999999999,0.03399999999999992,0.9,0.9359999999999999,0.8909999999999999,high,0.409619
eegnet,sub-026,ses-02,0.899,,,,0.9309999999999999,0.9570000000000001,moderate,-0.097636
eegnet,sub-027,ses-01,0.69,0.747,0.05700000000000005,0.7929999999999999,0.731,0.861,high,0.668654
eegnet,sub-028,ses-01,0.527,0.522,-0.0050000000000000044,0.895,0.85,0.71,moderate,-0.004359
eegnet,sub-029,ses-02,0.9349999999999999,0.8310000000000001,-0.10399999999999987,0.852,0.94,0.951,high,1.303291
eegnet,sub-030,ses-02,0.86,0.714,-0.14600000000000002,0.677,0.903,0.929,high,0.682424
eegnet,sub-031,ses-02,0.76,0.753,-0.007000000000000006,0.7909999999999999,0.82,0.828,high,1.286454
eegnet,sub-032,ses-01,0.594,,,0.631,,0.769,high,0.709196
eegnet,sub-033,ses-01,0.9030000000000001,0.942,0.03899999999999981,0.9259999999999999,0.958,0.953,moderate,-0.276196
eegnet,sub-034,ses-02,0.859,0.8300000000000001,-0.028999999999999915,0.732,0.879,0.905,moderate,-0.282479
eegnet,sub-035,ses-02,0.923,0.9570000000000001,0.03400000000000003,0.972,0.9790000000000001,0.9,stable,-0.546671
eegnet,sub-036,ses-02,0.986,0.986,0.0,0.8420000000000001,0.94,0.9740000000000001,moderate,0.072243
eegnet,sub-037,ses-02,0.8939999999999999,0.898,0.004000000000000115,0.835,0.9109999999999999,0.9179999999999999,high,0.328755
eegnet,sub-038,ses-02,0.484,0.5439999999999999,0.05999999999999994,0.516,0.785,0.8859999999999999,high,0.99435
eegnet,sub-039,ses-02,0.5820000000000001,0.457,-0.12500000000000006,0.753,0.8590000000000001,0.7,stable,-0.956734
eegnet,sub-040,ses-01,0.725,0.807,0.08200000000000007,0.723,0.627,0.726,stable,-0.664534
eegnet,sub-041,ses-02,0.899,0.891,-0.008000000000000007,0.895,0.858,0.875,stable,-0.419043
eegnet,sub-042,ses-01,0.632,0.674,0.04200000000000004,0.7070000000000001,0.6759999999999999,0.6829999999999999,high,0.217059
eegnet,sub-043,ses-01,0.9120000000000001,0.9650000000000001,0.052999999999999936,0.963,0.972,0.96,stable,-0.703556
eegnet,sub-044,ses-02,0.688,0.721,0.03300000000000003,0.5579999999999999,0.6920000000000001,0.725,stable,-0.712975
eegnet,sub-045,ses-01,0.841,0.875,0.03400000000000003,0.8370000000000001,0.778,0.885,high,0.364502
eegnet,sub-046,ses-01,0.945,0.9650000000000001,0.02000000000000013,0.982,0.9840000000000001,0.949,stable,-0.503786
eegnet,sub-047,ses-01,0.776,0.8699999999999999,0.09399999999999986,0.8370000000000001,0.87,0.857,stable,-0.52362
eegnet,sub-048,ses-01,0.799,0.8220000000000001,0.02300000000000002,0.846,0.847,0.863,stable,-0.383987
eegnet,sub-049,ses-02,0.8550000000000001,0.873,0.017999999999999905,0.907,0.853,0.909,stable,-0.540644
eegnet,sub-050,ses-02,0.951,0.9640000000000001,0.013000000000000123,0.893,0.951,0.945,stable,-0.748831
eegnet,sub-051,ses-02,0.8539999999999999,0.8960000000000001,0.04200000000000026,0.872,0.805,0.871,moderate,0.026446
fbcnet,sub-001,ses-02,0.8089999999999999,0.772,-0.03699999999999992,0.6859999999999999,0.846,0.863,stable,-0.444671
fbcnet,sub-002,ses-02,0.546,0.521,-0.025000000000000022,0.5489999999999999,0.504,0.627,moderate,-0.242976
fbcnet,sub-003,ses-01,0.75,0.8029999999999999,0.052999999999999936,0.797,0.8390000000000001,0.792,moderate,-0.231727
fbcnet,sub-004,ses-01,0.519,0.514,-0.0050000000000000044,0.534,0.517,0.489,moderate,0.021872
fbcnet,sub-005,ses-01,0.792,0.8119999999999999,0.019999999999999907,0.815,0.8220000000000001,0.8140000000000001,stable,-1.084483
fbcnet,sub-006,ses-01,0.751,0.8949999999999999,0.1439999999999999,0.899,0.95,0.95,moderate,-0.063075
fbcnet,sub-007,ses-02,0.564,0.5599999999999999,-0.0040000000000000036,0.5670000000000001,0.66,0.74,high,0.110273
fbcnet,sub-008,ses-02,0.689,0.666,-0.02299999999999991,0.604,0.7040000000000001,0.836,moderate,-0.281448
fbcnet,sub-009,ses-01,0.49400000000000005,0.518,0.023999999999999966,0.563,0.615,0.524,stable,-0.323885
fbcnet,sub-010,ses-02,0.518,0.5509999999999999,0.03299999999999992,0.542,0.674,0.7170000000000001,moderate,-0.304098
fbcnet,sub-011,ses-01,0.6449999999999999,0.683,0.038000000000000145,0.862,0.632,0.764,stable,-0.355012
fbcnet,sub-012,ses-02,0.521,0.504,-0.017000000000000015,0.534,0.484,0.5539999999999999,moderate,-0.293627
fbcnet,sub-013,ses-01,0.531,0.5660000000000001,0.03500000000000003,0.581,0.5589999999999999,0.5630000000000001,high,1.321363
fbcnet,sub-014,ses-01,0.5,0.485,-0.015000000000000013,0.524,0.496,0.474,high,0.735637
fbcnet,sub-015,ses-02,0.506,0.506,0.0,0.5830000000000001,0.612,0.502,high,0.518046
fbcnet,sub-016,ses-01,0.532,0.531,-0.0010000000000000009,0.537,0.502,0.551,stable,-0.899544
fbcnet,sub-017,ses-02,0.595,0.6140000000000001,0.019000000000000128,0.5770000000000001,0.618,0.713,stable,-0.339527
fbcnet,sub-018,ses-01,0.504,0.5349999999999999,0.030999999999999917,0.546,0.541,0.528,moderate,-0.020414
fbcnet,sub-019,ses-02,0.537,0.568,0.030999999999999917,0.617,0.498,0.7909999999999999,high,0.440742
fbcnet,sub-020,ses-02,0.497,0.491,-0.006000000000000005,0.8190000000000001,0.784,0.82,high,1.873967
fbcnet,sub-021,ses-02,0.5509999999999999,0.609,0.05800000000000005,0.653,0.518,0.652,moderate,-0.065789
fbcnet,sub-022,ses-02,0.62,0.5810000000000001,-0.038999999999999924,0.711,0.65,0.649,high,0.489955
fbcnet,sub-023,ses-02,0.755,,,,0.84,0.945,moderate,-0.259521
fbcnet,sub-025,ses-02,0.558,0.516,-0.04200000000000004,0.765,0.8640000000000001,0.669,high,0.409619
fbcnet,sub-026,ses-02,0.5650000000000001,,,,0.841,0.8640000000000001,moderate,-0.097636
fbcnet,sub-027,ses-01,0.518,0.541,0.02300000000000002,0.708,0.664,0.745,high,0.668654
fbcnet,sub-028,ses-02,0.683,0.734,0.050999999999999934,0.857,0.823,0.825,moderate,-0.004359
fbcnet,sub-029,ses-02,0.96,0.96,0.0,0.96,0.977,0.9259999999999999,high,1.303291
fbcnet,sub-030,ses-02,0.773,0.675,-0.09799999999999998,0.762,0.8220000000000001,0.8220000000000001,high,0.682424
fbcnet,sub-031,ses-02,0.571,0.639,0.06800000000000006,0.649,0.643,0.648,high,1.286454
fbcnet,sub-032,ses-01,0.603,,,0.659,,0.5760000000000001,high,0.709196
