dataset,model_adapter,method,seed,subject,source_session,target_session,cell_id,feature_source,n_source,n_target,acc,balanced_acc,delta_vs_no_tta,negative_transfer,used_target_labels,oracle_diagnostic_only,not_deployable,geometry,filter_k,initialization,npz_path_resolved,failure_reason
shu,eegnet,no_tta,0,sub-002,ses-01,ses-02,shu__eegnet__seed0__sub-002__ses-01->ses-02,embedding_replay,73,95,0.5263157894736842,0.5285904255319149,0.0,False,False,False,False,,,frozen_model_pred,/share/home/yuan/SYX/eeg-mi-online/outputs/experiments/shu/prototype_drift_v1/embeddings/eegnet/seed0/sub-002_ses-01-to-ses-02.npz,
shu,eegnet,no_tta,0,sub-017,ses-01,ses-02,shu__eegnet__seed0__sub-017__ses-01->ses-02,embedding_replay,80,100,0.46,0.46,0.0,False,False,False,False,,,frozen_model_pred,/share/home/yuan/SYX/eeg-mi-online/outputs/experiments/shu/prototype_drift_v1/embeddings/eegnet/seed0/sub-017_ses-01-to-ses-02.npz,
