method,subject,acc_mean,none_acc_mean,gain_acc_mean
bn_statistics_adaptation,sub-001,0.7647619047619048,0.7571428571428571,0.007619047619047621
bn_statistics_adaptation,sub-002,0.5847142857142857,0.5828571428571429,0.0018571428571428545
bn_statistics_adaptation,sub-003,0.6616190476190477,0.7182380952380953,-0.056619047619047624
bn_statistics_adaptation,sub-004,0.506,0.5074285714285715,-0.0014285714285714299
bn_statistics_adaptation,sub-005,0.7324285714285714,0.7183809523809525,0.014047619047619052
bn_statistics_adaptation,sub-006,0.8438095238095238,0.7886666666666667,0.055142857142857146
bn_statistics_adaptation,sub-007,0.6872380952380952,0.6696666666666666,0.017571428571428575
bn_statistics_adaptation,sub-008,0.6640952380952382,0.6498571428571428,0.014238095238095232
bn_statistics_adaptation,sub-009,0.5998571428571429,0.5965714285714285,0.0032857142857142837
bn_statistics_adaptation,sub-010,0.5902857142857143,0.5714761904761905,0.01880952380952381
bn_statistics_adaptation,sub-011,0.7661428571428571,0.7561904761904762,0.009952380952380947
bn_statistics_adaptation,sub-012,0.5224285714285715,0.5187619047619048,0.0036666666666666683
bn_statistics_adaptation,sub-013,0.6537619047619048,0.6477142857142858,0.006047619047619054
bn_statistics_adaptation,sub-014,0.5006190476190476,0.5005714285714286,4.761904761904872e-05
bn_statistics_adaptation,sub-015,0.5646190476190477,0.5694761904761905,-0.004857142857142853
bn_statistics_adaptation,sub-016,0.5293333333333333,0.5246666666666667,0.0046666666666666645
bn_statistics_adaptation,sub-017,0.6588571428571429,0.647952380952381,0.010904761904761901
bn_statistics_adaptation,sub-018,0.5895714285714286,0.5882380952380952,0.0013333333333333303
bn_statistics_adaptation,sub-019,0.6257619047619047,0.6194761904761905,0.006285714285714294
bn_statistics_adaptation,sub-020,0.5642380952380952,0.5553809523809523,0.00885714285714286
bn_statistics_adaptation,sub-021,0.6372857142857143,0.6325238095238096,0.004761904761904759
bn_statistics_adaptation,sub-022,0.6014285714285714,0.593952380952381,0.007476190476190478
bn_statistics_adaptation,sub-023,0.781,0.7696666666666666,0.011333333333333329
bn_statistics_adaptation,sub-025,0.7706190476190476,0.7596190476190476,0.011000000000000008
bn_statistics_adaptation,sub-026,0.7843333333333333,0.7708333333333334,0.013500000000000019
bn_statistics_adaptation,sub-027,0.6386190476190475,0.6097619047619048,0.028857142857142852
bn_statistics_adaptation,sub-028,0.655952380952381,0.6288571428571429,0.027095238095238092
bn_statistics_adaptation,sub-029,0.6866666666666666,0.6776666666666666,0.009000000000000005
bn_statistics_adaptation,sub-030,0.7191428571428572,0.7217619047619047,-0.002619047619047616
bn_statistics_adaptation,sub-031,0.6662857142857143,0.6438095238095237,0.022476190476190476
bn_statistics_adaptation,sub-032,0.5704999999999999,0.581,-0.010499999999999994
bn_statistics_adaptation,sub-033,0.8886190476190476,0.8727619047619047,0.015857142857142854
bn_statistics_adaptation,sub-034,0.7054761904761905,0.7029047619047619,0.0025714285714285717
bn_statistics_adaptation,sub-035,0.8899523809523809,0.900952380952381,-0.011000000000000008
bn_statistics_adaptation,sub-036,0.9043809523809523,0.8978571428571429,0.006523809523809522
bn_statistics_adaptation,sub-037,0.7501904761904762,0.7914761904761906,-0.04128571428571428
bn_statistics_adaptation,sub-038,0.5147142857142857,0.5139523809523809,0.0007619047619047594
bn_statistics_adaptation,sub-039,0.5123333333333333,0.5093809523809524,0.002952380952380954
bn_statistics_adaptation,sub-040,0.6674761904761904,0.6601904761904761,0.007285714285714286
bn_statistics_adaptation,sub-041,0.8292857142857143,0.8203809523809524,0.008904761904761901
bn_statistics_adaptation,sub-042,0.6233809523809524,0.6168571428571428,0.006523809523809529
bn_statistics_adaptation,sub-043,0.9436190476190476,0.9337619047619048,0.009857142857142863
bn_statistics_adaptation,sub-044,0.6080476190476191,0.6027619047619047,0.00528571428571428
bn_statistics_adaptation,sub-045,0.7474285714285714,0.7411428571428571,0.006285714285714288
bn_statistics_adaptation,sub-046,0.9506666666666665,0.9452857142857143,0.0053809523809523795
bn_statistics_adaptation,sub-047,0.7749047619047619,0.7673333333333333,0.007571428571428572
bn_statistics_adaptation,sub-048,0.734952380952381,0.6983809523809523,0.03657142857142856
bn_statistics_adaptation,sub-049,0.725047619047619,0.7067142857142857,0.01833333333333333
bn_statistics_adaptation,sub-050,0.8532380952380952,0.8423809523809525,0.010857142857142859
bn_statistics_adaptation,sub-051,0.7506666666666666,0.7413333333333334,0.009333333333333325
euclidean_alignment,sub-001,0.7538095238095238,0.7571428571428571,-0.0033333333333333266
euclidean_alignment,sub-002,0.5639523809523809,0.5828571428571429,-0.01890476190476191
euclidean_alignment,sub-003,0.6200476190476191,0.7182380952380953,-0.09819047619047619
euclidean_alignment,sub-004,0.506,0.5074285714285715,-0.0014285714285714299
euclidean_alignment,sub-005,0.7063333333333334,0.7183809523809525,-0.01204761904761904
euclidean_alignment,sub-006,0.854904761904762,0.7886666666666667,0.06623809523809523
euclidean_alignment,sub-007,0.6843809523809524,0.6696666666666666,0.014714285714285718
euclidean_alignment,sub-008,0.6665238095238095,0.6498571428571428,0.016666666666666663
euclidean_alignment,sub-009,0.5631904761904761,0.5965714285714285,-0.03338095238095237
euclidean_alignment,sub-010,0.5802857142857143,0.5714761904761905,0.00880952380952381
euclidean_alignment,sub-011,0.7398095238095237,0.7561904761904762,-0.016380952380952392
euclidean_alignment,sub-012,0.5037619047619047,0.5187619047619048,-0.015000000000000008
euclidean_alignment,sub-013,0.6317619047619049,0.6477142857142858,-0.015952380952380937
euclidean_alignment,sub-014,0.4996666666666667,0.5005714285714286,-0.0009047619047619045
euclidean_alignment,sub-015,0.5558095238095238,0.5694761904761905,-0.013666666666666659
