model,protocol,n_seeds,accuracy_mean,accuracy_std,accuracy_median,accuracy_min,accuracy_max,balanced_accuracy_mean,balanced_accuracy_std,balanced_accuracy_median,balanced_accuracy_min,balanced_accuracy_max,macro_f1_mean,macro_f1_std,macro_f1_median,macro_f1_min,macro_f1_max,auc_mean,auc_std,auc_median,auc_min,auc_max,nll_mean,nll_std,nll_median,nll_min,nll_max,brier_mean,brier_std,brier_median,brier_min,brier_max,ece_mean,ece_std,ece_median,ece_min,ece_max
deepconvnet,within_session,5,0.606396,0.003520,0.607671,0.601624,0.610484,0.606605,0.003290,0.608300,0.602107,0.610500,0.570289,0.002772,0.571058,0.565449,0.573963,0.637235,0.004008,0.635438,0.633367,0.644647,0.717636,0.010355,0.722647,0.699620,0.726683,0.469486,0.005342,0.472068,0.459420,0.473803,0.255097,0.003771,0.256267,0.247914,0.258318
eegnet,within_session,5,0.611259,0.004309,0.611889,0.604374,0.617546,0.611300,0.004161,0.611547,0.604827,0.617667,0.588613,0.004248,0.589588,0.581766,0.594578,0.638143,0.003651,0.638710,0.632813,0.643581,0.668873,0.002251,0.668969,0.665446,0.671536,0.447522,0.001924,0.448856,0.444011,0.448938,0.222789,0.004004,0.223282,0.216999,0.227473
fbcnet,within_session,5,0.553483,0.005761,0.553576,0.546268,0.562803,0.553283,0.005682,0.553467,0.546033,0.562013,0.524200,0.006295,0.526374,0.516372,0.533469,0.572195,0.006295,0.573603,0.561607,0.580653,0.756770,0.005153,0.757813,0.747582,0.763520,0.534108,0.005286,0.535607,0.524832,0.540520,0.316884,0.003389,0.317324,0.310706,0.321070
deepconvnet,cross_session,5,0.536271,0.003381,0.538526,0.530699,0.539107,0.536459,0.003555,0.539016,0.530847,0.539656,0.485329,0.004980,0.485038,0.477874,0.491163,0.562615,0.004688,0.561291,0.556884,0.569608,1.080449,0.049994,1.098855,1.003024,1.150440,0.580768,0.005560,0.579725,0.571654,0.588033,0.194880,0.008625,0.193182,0.182713,0.208105
eegnet,cross_session,5,0.538073,0.004678,0.539059,0.530473,0.543229,0.537897,0.004583,0.538609,0.530433,0.543073,0.515734,0.004652,0.516786,0.507207,0.521435,0.553361,0.006032,0.553825,0.543073,0.560303,1.094254,0.052686,1.080089,1.021947,1.155453,0.560936,0.004075,0.559307,0.555171,0.566643,0.162997,0.005728,0.162431,0.153439,0.170976
fbcnet,cross_session,5,0.507831,0.001130,0.507462,0.506293,0.509624,0.507523,0.001183,0.506840,0.506237,0.509367,0.420332,0.004665,0.421201,0.412679,0.425253,0.520933,0.002100,0.520928,0.517583,0.524220,1.295803,0.040428,1.284202,1.248190,1.350433,0.691028,0.008126,0.690398,0.678349,0.701894,0.287262,0.006238,0.286326,0.277489,0.295113
