model,protocol,n_seeds,acc_mean,acc_std,acc_median,acc_min,acc_max,bacc_mean,bacc_std,bacc_median,bacc_min,bacc_max,f1_mean,f1_std,f1_median,f1_min,f1_max,auc_mean,auc_std,auc_median,auc_min,auc_max,nll_mean,nll_std,nll_median,nll_min,nll_max,brier_mean,brier_std,brier_median,brier_min,brier_max,ece_mean,ece_std,ece_median,ece_min,ece_max
eegnet,multisource_0102_to_03,5,0.5435982661051305,0.012949054949367645,0.543138505054409,0.5284629981362344,0.5645597524012276,0.5443755948164466,0.011789288256599275,0.5439283289413903,0.5310079333974514,0.5642403904642589,0.5231665220926334,0.015157931131796563,0.5230300319445912,0.5022423596890031,0.548905163483531,0.5656232082587035,0.004780291891392478,0.5662701907867995,0.5568519882251407,0.5710997703722934,1.018077567100525,0.08028430739618543,0.9904190874099732,0.9127226352691651,1.113774721622467,0.5552018903128867,0.015847836577752402,0.5463537813646798,0.5362392370688166,0.574843090872115,0.15916163528816768,0.014398863851767968,0.15083799810907503,0.14247504243684028,0.17685581560544555
deepconvnet,multisource_0102_to_03,5,0.5577504437254939,0.01242449236206038,0.5544230461994768,0.5408196994703777,0.5722431051402341,0.5587976622028785,0.012614999552995108,0.5563724214114874,0.5404829213943941,0.5736360690179111,0.535607816780338,0.010272405757008895,0.533668212681231,0.5223920714550799,0.5494321399874214,0.5825718715733822,0.012282676695203741,0.5793199717861812,0.5643855905510491,0.5975970174435651,1.1181038885116577,0.08757432818619974,1.1717430973052978,0.9689168858528138,1.1948672616481781,0.573489032428496,0.013588582906325607,0.5706844239820092,0.5594042270103858,0.5990302241768795,0.19797861739761907,0.010359214885612348,0.19529308961475383,0.18554216140724203,0.2163716099997107
fbcnet,multisource_0102_to_03,5,0.5116417893182719,0.006916779767717305,0.5101122524825707,0.5041497753020078,0.5214398580678902,0.5119718475800826,0.0065583561706252435,0.5098133554010039,0.5024775456182377,0.5201603765647821,0.4508584067091973,0.012632998425542198,0.45043161016470523,0.4379743082479554,0.4725024189882439,0.5272502228444835,0.012802974184822789,0.5343844731271018,0.5036770068369986,0.5383862989638858,1.0279197731018068,0.06548498656040563,1.0174375939369202,0.9300261187553406,1.1185024929046632,0.6402284107098489,0.02196572476676043,0.6399780496336205,0.6068213645782474,0.6663273073897272,0.24245713063412228,0.014915723473271742,0.24331928314258,0.2245118730462465,0.2632653688331541
