method,subject,acc_mean,none_acc_mean,gain_acc_mean
bn_statistics_adaptation,sub-001,0.503052124077656,0.50672719,-0.003675065922344018
bn_statistics_adaptation,sub-002,0.5168531655225019,0.5146968566666666,0.0021563088558352356
bn_statistics_adaptation,sub-003,0.510795652173913,0.5080028933333334,0.002792758840579713
bn_statistics_adaptation,sub-004,0.5060398092408046,0.5067959666666667,-0.0007561574258620492
bn_statistics_adaptation,sub-005,0.5023201922909896,0.50790439,-0.005584197709010404
bn_statistics_adaptation,sub-006,0.5484208265558608,0.54086331,0.007557516555860759
bn_statistics_adaptation,sub-007,0.5214589975845411,0.5232489633333334,-0.0017899657487922705
bn_statistics_adaptation,sub-008,0.5142707622785349,0.50774466,0.006526102278534802
bn_statistics_adaptation,sub-009,0.49808334793513365,0.49821791,-0.00013456206486635054
bn_statistics_adaptation,sub-010,0.519436971360925,0.51680912,0.0026278513609249623
bn_statistics_adaptation,sub-011,0.5035574468085107,0.5053716566666667,-0.0018142098581560339
bn_statistics_adaptation,sub-012,0.5018635430891989,0.49933094333333333,0.0025325997558655953
bn_statistics_adaptation,sub-013,0.6093398282941397,0.5901183400000001,0.0192214882941396
bn_statistics_adaptation,sub-014,0.5196215102974828,0.5175909333333333,0.002030576964149499
bn_statistics_adaptation,sub-015,0.5391539036667299,0.53100311,0.008150793666729843
bn_statistics_adaptation,sub-016,0.5308052053209947,0.5230555566666666,0.007749648654328126
bn_statistics_adaptation,sub-017,0.4980897601145722,0.49662841333333335,0.0014613467812388088
bn_statistics_adaptation,sub-018,0.5168241134751773,0.5159134866666667,0.0009106268085106291
bn_statistics_adaptation,sub-019,0.5393453414354125,0.5364226033333334,0.0029227381020790677
bn_statistics_adaptation,sub-020,0.6534228464419475,0.6151164866666666,0.03830635977528089
bn_statistics_adaptation,sub-021,0.6389588558312478,0.6137331633333333,0.02522569249791439
bn_statistics_adaptation,sub-022,0.5387749845507354,0.52888593,0.009889054550735391
bn_statistics_adaptation,sub-023,0.5835375005816001,0.5654826766666666,0.018054823914933495
bn_statistics_adaptation,sub-024,0.5033882996990046,0.5083619366666666,-0.004973636967662138
bn_statistics_adaptation,sub-025,0.5070409665573403,0.5067727999999999,0.0002681665573402703
euclidean_alignment,sub-001,0.5072612364782577,0.50672719,0.0005340464782577484
euclidean_alignment,sub-002,0.5331962623951182,0.5146968566666666,0.018499405728451566
euclidean_alignment,sub-003,0.5014014492753623,0.5080028933333334,-0.006601444057971012
euclidean_alignment,sub-004,0.5096117836384101,0.5067959666666667,0.002815816971743347
euclidean_alignment,sub-005,0.5046052668326735,0.50790439,-0.00329912316732654
euclidean_alignment,sub-006,0.590775484474767,0.54086331,0.04991217447476703
euclidean_alignment,sub-007,0.5194451690821257,0.5232489633333334,-0.0038037942512077253
euclidean_alignment,sub-008,0.5178297703004223,0.50774466,0.010085110300422338
euclidean_alignment,sub-009,0.5013718099360956,0.49821791,0.0031538999360956506
euclidean_alignment,sub-010,0.5092687180068564,0.51680912,-0.0075404019931435895
euclidean_alignment,sub-011,0.5058673758865249,0.5053716566666667,0.0004957192198581517
euclidean_alignment,sub-012,0.4982695531336556,0.49933094333333333,-0.0010613901996776548
euclidean_alignment,sub-013,0.6058209406494961,0.5901183400000001,0.015702600649496076
euclidean_alignment,sub-014,0.5142179252479024,0.5175909333333333,-0.003373008085430975
euclidean_alignment,sub-015,0.533482144436722,0.53100311,0.0024790344367220454
euclidean_alignment,sub-016,0.5263818777713515,0.5230555566666666,0.003326321104684789
euclidean_alignment,sub-017,0.4977158610812746,0.49662841333333335,0.0010874477479412756
euclidean_alignment,sub-018,0.5153595744680851,0.5159134866666667,-0.0005539121985815665
euclidean_alignment,sub-019,0.530019316342142,0.5364226033333334,-0.006403286991191342
euclidean_alignment,sub-020,0.6103119850187265,0.6151164866666666,-0.0048045016479400775
euclidean_alignment,sub-021,0.6255683226973464,0.6137331633333333,0.01183515936401304
euclidean_alignment,sub-022,0.5363072178964281,0.52888593,0.007421287896428135
euclidean_alignment,sub-023,0.5722085553753519,0.5654826766666666,0.00672587870868515
euclidean_alignment,sub-024,0.5144253946840867,0.5083619366666666,0.006063458017419922
euclidean_alignment,sub-025,0.5140927788523534,0.5067727999999999,0.007319978852353307
filterbank_reweighting,sub-001,0.5057731212837596,0.50672719,-0.0009540687162404262
filterbank_reweighting,sub-002,0.5005957284515636,0.5146968566666666,-0.014101128215102982
filterbank_reweighting,sub-003,0.5039550724637681,0.5080028933333334,-0.0040478208695652156
filterbank_reweighting,sub-004,0.5028837484433645,0.5067959666666667,-0.003912218223302157
filterbank_reweighting,sub-005,0.5055694097748751,0.50790439,-0.002334980225124946
filterbank_reweighting,sub-006,0.5150720955552519,0.54086331,-0.025791214444748103
filterbank_reweighting,sub-007,0.5128864734299516,0.5232489633333334,-0.01036248990338164
filterbank_reweighting,sub-008,0.5020300601641565,0.50774466,-0.0057145998358435
filterbank_reweighting,sub-009,0.49956169432419434,0.49821791,0.001343784324194325
filterbank_reweighting,sub-010,0.5082616521791279,0.51680912,-0.008547467820872089
filterbank_reweighting,sub-011,0.5071602836879433,0.5053716566666667,0.0017886270212765906
filterbank_reweighting,sub-012,0.49717113977945143,0.49933094333333333,-0.0021598035538818888
filterbank_reweighting,sub-013,0.5414918253079507,0.5901183400000001,-0.048626514692049275
filterbank_reweighting,sub-014,0.5049186880244089,0.5175909333333333,-0.012672245308924489
filterbank_reweighting,sub-015,0.5314467513321117,0.53100311,0.0004436413321117849
filterbank_reweighting,sub-016,0.5106675534991324,0.5230555566666666,-0.012388003167534222
filterbank_reweighting,sub-017,0.49918671679197996,0.49662841333333335,0.002558303458646613
filterbank_reweighting,sub-018,0.5031659574468086,0.5159134866666667,-0.012747529219858162
filterbank_reweighting,sub-019,0.5083512829251667,0.5364226033333334,-0.028071320408166584
filterbank_reweighting,sub-020,0.5918213483146068,0.6151164866666666,-0.023295138352059926
filterbank_reweighting,sub-021,0.5309930506159743,0.6137331633333333,-0.0827401127173589
filterbank_reweighting,sub-022,0.510118057100482,0.52888593,-0.01876787289951798
filterbank_reweighting,sub-023,0.5152122051287165,0.5654826766666666,-0.05027047153795025
filterbank_reweighting,sub-024,0.5025323307030876,0.5083619366666666,-0.005829605963579081
filterbank_reweighting,sub-025,0.50655744400527,0.5067727999999999,-0.0002153559947299192
riemannian_alignment,sub-001,0.5103875779067268,0.50672719,0.0036603879067268327
riemannian_alignment,sub-002,0.5375855835240275,0.5146968566666666,0.02288872685736079
riemannian_alignment,sub-003,0.5057144927536232,0.5080028933333334,-0.002288400579710143
riemannian_alignment,sub-004,0.5146007666307701,0.5067959666666667,0.007804799964103514
riemannian_alignment,sub-005,0.502464278546183,0.50790439,-0.0054401114538169815
riemannian_alignment,sub-006,0.5983680659279025,0.54086331,0.05750475592790252
riemannian_alignment,sub-007,0.5245406400966184,0.5232489633333334,0.001291676763285027
riemannian_alignment,sub-008,0.5137271309798922,0.50774466,0.005982470979892147
riemannian_alignment,sub-009,0.4995441206280492,0.49821791,0.0013262106280491999
riemannian_alignment,sub-010,0.5108651355962975,0.51680912,-0.005943984403702442
riemannian_alignment,sub-011,0.501422695035461,0.5053716566666667,-0.003948961631205677
riemannian_alignment,sub-012,0.5000507857201089,0.49933094333333333,0.0007198423867755292
riemannian_alignment,sub-013,0.6159097051138485,0.5901183400000001,0.025791365113848445
riemannian_alignment,sub-014,0.5135340198321892,0.5175909333333333,-0.00405691350114417
riemannian_alignment,sub-015,0.5323172763842379,0.53100311,0.001314166384237895
riemannian_alignment,sub-016,0.5354049161364951,0.5230555566666666,0.012349359469828413
riemannian_alignment,sub-017,0.49962760472610096,0.49662841333333335,0.0029991913927676314
riemannian_alignment,sub-018,0.5189843971631205,0.5159134866666667,0.0030709104964538945
riemannian_alignment,sub-019,0.5353522710793576,0.5364226033333334,-0.0010703322539757885
riemannian_alignment,sub-020,0.6088595505617977,0.6151164866666666,-0.006256936104868916
riemannian_alignment,sub-021,0.6559438747460882,0.6137331633333333,0.042210711412754856
riemannian_alignment,sub-022,0.5408320108762823,0.52888593,0.011946080876282295
riemannian_alignment,sub-023,0.5748109230234641,0.5654826766666666,0.009328246356797477
riemannian_alignment,sub-024,0.5081332951679453,0.5083619366666666,-0.00022864149872140675
riemannian_alignment,sub-025,0.5107046603874078,0.5067727999999999,0.003931860387407833
session_zscore,sub-001,0.5109851851851852,0.50672719,0.004257995185185175
session_zscore,sub-002,0.5768777269260107,0.5146968566666666,0.062180870259344004
session_zscore,sub-003,0.5095115942028986,0.5080028933333334,0.001508700869565221
session_zscore,sub-004,0.505744322257511,0.5067959666666667,-0.0010516444091556447
session_zscore,sub-005,0.5131378289149544,0.50790439,0.005233438914954443
session_zscore,sub-006,0.6694517824382008,0.54086331,0.12858847243820087
session_zscore,sub-007,0.5292612318840579,0.5232489633333334,0.006012268550724638
session_zscore,sub-008,0.5356629449225702,0.50774466,0.027918284922570185
session_zscore,sub-009,0.5029176965230536,0.49821791,0.004699786523053663
session_zscore,sub-010,0.5261494906974967,0.51680912,0.009340370697496731
