method,model,training_scope,n_seeds,n_obs,acc_mean,acc_std,bacc_mean,bacc_std,f1_mean,f1_std,auc_mean,auc_std,nll_mean,nll_std,brier_mean,brier_std,ece_mean,ece_std
bn_statistics_adaptation,deepconvnet,single_source,5,2500,0.5466339530343903,0.0031925030492038764,0.546800903793391,0.0030970798280799466,0.5218357563899624,0.003600928500384209,0.5651804587667215,0.0038242991728882287,1.1963865525729953,0.026222812976394186,0.6378032702035156,0.0060596799618151944,0.2674228177008172,0.006442395891522809
bn_statistics_adaptation,eegnet,single_source,5,2500,0.5388700529589487,0.004433186465850312,0.538808039578754,0.004481916311368087,0.5188774272988697,0.007121075220268493,0.5550682773078893,0.006130597940344404,0.8693800290523097,0.015673941086282995,0.548715893731006,0.0030655128274154593,0.16600302595372227,0.005027868129002989
bn_statistics_adaptation,fbcnet,single_source,5,2500,0.5134307086288553,0.0013164535874174725,0.5134435162015243,0.0014183566807099137,0.4817963820048436,0.0014388038068679921,0.5210678642484226,0.0020266576475837478,1.1083803973436355,0.040865840360488265,0.621980484968718,0.00420389095838464,0.2262747981981487,0.0035542256335827057
euclidean_alignment,deepconvnet,single_source,5,2500,0.5354006880118016,0.002281432703747967,0.5359475503314162,0.0022156875943651075,0.4532718257500214,0.005261029860837897,0.5670692071032419,0.004466996386142261,0.99002399623245,0.05340354747787409,0.5574446470014802,0.009613336804170902,0.16772773975404423,0.010096652043363512
euclidean_alignment,eegnet,single_source,5,2500,0.5432311946689401,0.006646107939023435,0.5430165025372957,0.006518332162267166,0.5158880945760471,0.014039960976507481,0.5612022879965536,0.00816476563606176,0.9418950923047961,0.048611341377039576,0.5352936131843911,0.0038743159764662656,0.13715119538025183,0.006092025284304297
euclidean_alignment,fbcnet,single_source,5,2500,0.5167460101946426,0.0029232924904008173,0.5171026466101104,0.002789481084070945,0.45034779803464736,0.005337731680009416,0.5358371902844918,0.004658149708145527,1.2307394020080566,0.048599226922763826,0.6585289751415826,0.006994692801827573,0.2622658094485835,0.005135985230198704
filterbank_reweighting,deepconvnet,single_source,5,2500,0.5064159483669688,0.0010177448985917157,0.506886970579092,0.0009187841608897025,0.42195820147801555,0.0030413014812393753,0.5157912031542464,0.0031998265735228297,0.8955653902322055,0.03291642718741647,0.554196340017578,0.005921178317150992,0.13775031030416007,0.006885666102199406
filterbank_reweighting,eegnet,single_source,5,2500,0.5227863916402813,0.0010239056384662984,0.5224706041237334,0.0010011856986054965,0.48136771268274464,0.005405759089646668,0.5321345714209502,0.0031791201095493263,0.9587459689460696,0.07340234310803097,0.542466525311353,0.00594347655633168,0.1249059028739817,0.006491771526983763
filterbank_reweighting,fbcnet,single_source,5,2500,0.5088837028807223,0.0016122588905588845,0.5086882878944439,0.0014990926433145484,0.431641897038103,0.0025887557477297938,0.5190896356859925,0.0019973920081239062,1.1388502706348895,0.021316517932036778,0.6689910906986967,0.004338131764068543,0.2717759384222008,0.0031536988761157393
none_reference,deepconvnet,single_source,5,2500,0.536271232,0.003381199864067194,0.5364593624000001,0.0035549754876021294,0.48532895400000003,0.004980023556349267,0.5626146000000001,0.004687686022140143,1.0804494420000001,0.04999419092253537,0.5807679516000002,0.005559534673949233,0.1948802828,0.008625197220188084
none_reference,eegnet,single_source,5,2500,0.5380732064000001,0.004677779328945133,0.5378973687999999,0.004582508164231197,0.5157337796,0.004651686988924065,0.5533612811999999,0.00603191599703795,1.0942538048,0.052685756335088346,0.5609357011999999,0.004074794773005318,0.1629969056,0.0057282333781153
none_reference,fbcnet,single_source,5,2500,0.5078314772000001,0.0011299673666612256,0.5075227608,0.0011829797086892893,0.4203317928,0.004665493846193885,0.5209328844000001,0.0020998031286359946,1.2958026496000001,0.0404284079987711,0.6910280264,0.00812602354515531,0.2872622676,0.006238374558925615
riemannian_alignment,deepconvnet,single_source,5,2500,0.5419885980120017,0.0038450899045509132,0.5425300878181009,0.0038627236968988344,0.47795831339737316,0.008017546770976396,0.5723667028784163,0.005247940065358158,0.8780282690681517,0.02954824924305599,0.5436624955620649,0.008743041123227114,0.16032773912679144,0.008118321829132491
riemannian_alignment,eegnet,single_source,5,2500,0.5454383792087367,0.007138711288016217,0.5451789973307666,0.0070808106708047285,0.52651320495323,0.008704330746616331,0.5628473532295424,0.007834367426656027,0.860930512470007,0.013779566097068667,0.5298025661956808,0.0032768870201136746,0.13680756150347193,0.003021641162626314
riemannian_alignment,fbcnet,single_source,5,2500,0.516935316204541,0.0019406458695159598,0.5172255372476451,0.001995339621787173,0.4695615713408635,0.004813736031730605,0.5338043397978284,0.0022534383199165845,0.966770500856638,0.010572495912682044,0.6202924621110315,0.002651927859094123,0.23398141721242446,0.0018043542882604686
session_zscore,deepconvnet,single_source,5,2500,0.5505914408969226,0.00535730923040156,0.5512085555002164,0.005419211866756669,0.486779524822604,0.013358397541624089,0.5836240246481307,0.004977849287292963,0.865635044677183,0.018511618826189076,0.5442545515146824,0.008371892111559451,0.17267753930517102,0.007068407552085315
session_zscore,eegnet,single_source,5,2500,0.5532116851570443,0.0025848914213138898,0.5532278882261402,0.0025080259422676824,0.5409035766748166,0.0038116785879299224,0.5724071072600274,0.003862524179706262,0.8162750814983621,0.021306873434369322,0.5261647943777956,0.004795033903099346,0.14281043059384257,0.0083147480491785
session_zscore,fbcnet,single_source,5,2500,0.5209369530905339,0.0017929134259355001,0.5213450023545035,0.0019772208758109533,0.4582774380940666,0.005500999295010978,0.5453619156629521,0.003886257709116661,1.0312067003369332,0.03305138519450652,0.6444846743285291,0.008855641729052613,0.25533172904921786,0.007746609756102692
