method,protocol,n_seeds,n_obs,acc_mean,acc_std,bacc_mean,bacc_std,f1_mean,f1_std,auc_mean,auc_std,nll_mean,nll_std,brier_mean,brier_std,ece_mean,ece_std
bn_statistics_adaptation,ses-01->ses-02,5,375,0.5268313584187806,0.004273350159115452,0.5272388477571635,0.004208235362438835,0.5005024710066339,0.005006897228870808,0.5416087186998092,0.005650657326625199,1.0831352604230244,0.04128601434905726,0.605841782102465,0.006495699098594864,0.2178399947411235,0.005188961757941967
bn_statistics_adaptation,ses-01->ses-03,5,375,0.5341736492732505,0.004055599806616997,0.5343813578264598,0.003672649559263628,0.5032022042142931,0.0032943314266147042,0.5501032100293839,0.00467399349062363,1.0934724867741266,0.1105492589649885,0.6019870278762788,0.004249774656142777,0.22029816532130703,0.008065251742782916
bn_statistics_adaptation,ses-01->ses-04,5,375,0.538371353652883,0.006755297587629686,0.5384117263363166,0.006518875069090752,0.514667445512633,0.006429969661337583,0.5492377562467575,0.008079633279083218,0.9775335045357545,0.022636796338011102,0.5942857758780242,0.007223590487024089,0.2169313592371987,0.005305596633973412
bn_statistics_adaptation,ses-01->ses-05,5,375,0.5403206421884159,0.0047350061240317345,0.5408269347863731,0.004839462372500942,0.5181455818026475,0.00598459726936118,0.5533890448019048,0.008692584414626727,1.0360099318027498,0.014996258857873831,0.589656096329809,0.007874369494610154,0.21312951790432658,0.00811352070664906
bn_statistics_adaptation,ses-02->ses-01,5,375,0.5259224529370613,0.004935324611674234,0.5261854595711968,0.004632474274749147,0.5043453504423472,0.007324639052377748,0.5361527470670057,0.0052741890062261,1.0577242879072826,0.0347646737503823,0.6091223363577474,0.011476504622269712,0.22176771584771032,0.008737496313838506
bn_statistics_adaptation,ses-02->ses-03,5,375,0.5243743236473895,0.0027700922964200257,0.5248823699750688,0.0028992219194026456,0.4976699630883615,0.006029567506889794,0.5362934136229611,0.0067649459467807125,1.2401375617980956,0.04202380482828183,0.6269632862353557,0.00435671594702663,0.22907836050031233,0.005284630426515807
bn_statistics_adaptation,ses-02->ses-04,5,375,0.5481109315438517,0.003940719308736052,0.5483279891722864,0.003953182482026416,0.5258741937130191,0.006124135509472289,0.568215970418097,0.0029262506932835348,1.0092859497467677,0.06411146529792741,0.5833529758653786,0.00831446281888376,0.21007478967414556,0.007833585929758654
bn_statistics_adaptation,ses-02->ses-05,5,375,0.5396995178045396,0.0021006945697379653,0.5393929287447282,0.0018889204382579279,0.5200581200047136,0.0017537274754867824,0.5529179630301287,0.002859462683513065,1.027640156586965,0.01524328393010835,0.5959548736398806,0.00286013577227791,0.2147485988501466,0.004374957123453968
bn_statistics_adaptation,ses-03->ses-01,5,375,0.5270069860903799,0.005526103520325714,0.5271362681434437,0.005520035607494821,0.5027152546694323,0.005154954865293747,0.5447237830326637,0.004466416077384814,0.93495876344045,0.016027382105397822,0.5909931859338177,0.00729638710611823,0.20982767524688867,0.004517029076615067
bn_statistics_adaptation,ses-03->ses-02,5,375,0.5143176481833723,0.003718747299412705,0.5143285512338646,0.0035083671387683805,0.48538992013898985,0.004138639040966024,0.5235109249306769,0.004907514682719236,1.0217255403995513,0.029872867632888135,0.615767707402662,0.006996177062623309,0.22385949931335397,0.008252059023699817
bn_statistics_adaptation,ses-03->ses-04,5,375,0.5178644417265053,0.004460360515991671,0.5175298756211054,0.004375947496142427,0.4924458854877927,0.004330253572816829,0.5217173157145317,0.00539822026879301,1.0555467901229858,0.038802561141882755,0.6119053386111435,0.007767550278054875,0.21886613153828258,0.007929585289613341
bn_statistics_adaptation,ses-03->ses-05,5,375,0.5279740608104462,0.006025468029268996,0.5286875043480274,0.006214731740019926,0.5044990403731358,0.006398849290254307,0.5418227132663398,0.005673654734066455,1.013940609296163,0.02616380810233735,0.6042356001205048,0.006929594491430632,0.2193828183580564,0.005536432530435699
bn_statistics_adaptation,ses-04->ses-01,5,375,0.525380411365348,0.007410721108740424,0.5257900029709706,0.007674195762619267,0.5000409193091491,0.009685374986142109,0.5427881188138756,0.008311941712893931,1.1566533653736115,0.0660016490638418,0.6290419690600633,0.013482821259914726,0.24065364185286658,0.010916744240270252
bn_statistics_adaptation,ses-04->ses-02,5,375,0.5509596628314404,0.007670028443041333,0.5506794829214886,0.007522386282728863,0.5258402217296413,0.008465982619917475,0.5705722261329585,0.004768738444058021,0.9859755610823632,0.04714611361688973,0.5873666440328289,0.010834682029340348,0.21913608887963726,0.008682315324139735
bn_statistics_adaptation,ses-04->ses-03,5,375,0.5284074713339975,0.007158201429536698,0.5277857492016023,0.007192197699391672,0.4972837216467142,0.009410046870809074,0.5423723330600776,0.006964525212033949,1.1832476794719695,0.07748625572627818,0.6310753296750654,0.013570405413378488,0.2392753171135349,0.010073736775669495
bn_statistics_adaptation,ses-04->ses-05,5,375,0.5532135165283435,0.003472399669229258,0.5523878408968712,0.0037176612489409552,0.531304232950683,0.004710806523235991,0.5723042889292209,0.0034216062176763867,1.108444285782675,0.06284429754667617,0.5853798305344572,0.011793562488816158,0.21451583814227765,0.009522804383457545
bn_statistics_adaptation,ses-05->ses-01,5,375,0.5211647437014337,0.00247908791050153,0.52157246474849,0.002204881031818305,0.49388199466816995,0.002991551385463713,0.5330493317157777,0.0061563710858844635,1.1111851505438488,0.04809325897447823,0.6179104475317146,0.011028618295465031,0.23000451287446683,0.011251270646982855
bn_statistics_adaptation,ses-05->ses-02,5,375,0.5307900763259765,0.003501368454162776,0.53100113970838,0.0036705349558438247,0.503962159638833,0.003013944110560196,0.5459808329977001,0.0048473477738395715,1.0078728300531705,0.03390595549299456,0.598505446443022,0.008077417135904036,0.21386075129814577,0.00815235459145677
bn_statistics_adaptation,ses-05->ses-03,5,375,0.5310549274794105,0.007911224202271559,0.5307813316000132,0.007988677104506129,0.4978751018189995,0.007560543820415886,0.5463046020605455,0.006938969279940657,1.09370330842336,0.04412158544447294,0.6068248004544349,0.010749537047399256,0.22332109999438035,0.007785885533714455
bn_statistics_adaptation,ses-05->ses-04,5,375,0.5536265883051379,0.0037891794229254388,0.5530219049272787,0.003697848301291517,0.5303599890749818,0.003498421020445344,0.5690453742498057,0.005424398174165033,0.962786836228023,0.03599110405962759,0.5704938719369457,0.008123785407120656,0.20143240232975992,0.005599269292008852
euclidean_alignment,ses-01->ses-02,5,375,0.5270890390624664,0.00629852352048145,0.5269403878194137,0.006528327727417086,0.46870132218604493,0.007903889297156907,0.5410482889857035,0.004511962277744837,1.090790011723836,0.05920649964925042,0.5869362674313263,0.009619700757978359,0.19123544068722198,0.010288213541361996
euclidean_alignment,ses-01->ses-03,5,375,0.5365848209009287,0.006874570568798388,0.5378973453440101,0.005660558344416174,0.47930448990516805,0.010286401754452624,0.5542837689417318,0.0051747975543292675,1.1959065510431928,0.10275935918413352,0.5845999344497886,0.00995581576863897,0.1892025004023809,0.00749027433739419
euclidean_alignment,ses-01->ses-04,5,375,0.5351161267274012,0.0038758015463607035,0.5349874055245516,0.0038738121594867345,0.47669993067810773,0.006521323960174079,0.5573889927292061,0.003669730879152655,1.0521697140932083,0.07007714361447294,0.5811120121085983,0.010494230215834547,0.1885974812361705,0.010467243969602366
euclidean_alignment,ses-01->ses-05,5,375,0.5341978816910673,0.003906419545648189,0.534639189861324,0.004545908260839509,0.47890607566600174,0.007297899241818201,0.5509152921553044,0.0077647337912655785,1.0626206889152527,0.07984902826848576,0.5816707424579042,0.004708105988316179,0.1891722929736071,0.007803124254195782
euclidean_alignment,ses-02->ses-01,5,375,0.5280466337248361,0.0019259830802456014,0.5287763295704178,0.001295453121675806,0.47134256472349084,0.004148088435544867,0.545019672752942,0.005761783008047466,1.0793398869832358,0.04512913571405276,0.5879354673909888,0.005376248003062419,0.19035791500551383,0.004202271817623093
