method,training_scope,n_seeds,n_obs,acc_mean,acc_std,bacc_mean,bacc_std,f1_mean,f1_std,auc_mean,auc_std,nll_mean,nll_std,brier_mean,brier_std,ece_mean,ece_std
bn_statistics_adaptation,single_source,5,7500,0.5329782382073982,0.001583604171702687,0.5330174865245564,0.0016225129503379006,0.5075031885645587,0.002253212377722551,0.5471055334410111,0.0014095397130945732,1.0580489929896468,0.015288295382020962,0.60283321630108,0.0016573101416744987,0.21990021395089604,0.00236210574231555
euclidean_alignment,single_source,5,7500,0.5317926309584614,0.0010488087179915766,0.5320222331596074,0.001159452908467989,0.47316923945357203,0.0038517359673318602,0.5547028951280957,0.0023479547715961626,1.0542194968484342,0.03948409018005092,0.5837557451091513,0.005391252171822505,0.18904824819429317,0.006420608772141725
filterbank_reweighting,single_source,5,7500,0.5126953476293241,0.0007910439348282293,0.5126819541990897,0.0008529500892423362,0.444989270399621,0.0021590971975232304,0.522338470087063,0.0020946802152937657,0.9977205432710547,0.036972940323792544,0.588551318675876,0.0035376937567865893,0.17814405053344753,0.002376947723108514
none_reference,single_source,5,7500,0.5273919718666668,0.0015957664548480839,0.527293164,0.0016426354140310162,0.47379817546666664,0.0027083060962236546,0.5456362552,0.0014131179802463955,1.1568352988,0.03374236062655043,0.6109105597333333,0.002600620917272763,0.21504648533333331,0.0027988305728355056
riemannian_alignment,single_source,5,7500,0.5347874311417598,0.0017174259359490694,0.5349782074655042,0.0017322774198186295,0.4913443632304889,0.0026976764427985495,0.5563394653019291,0.0017228946480957507,0.9019097607982655,0.012244262804177815,0.5645858412895923,0.0025749773828063266,0.1770389059475626,0.0030070080719735623
session_zscore,single_source,5,7500,0.5415800263815003,0.0018014655681172452,0.5419271486936201,0.001805440830175856,0.49532017986382915,0.0058553881823451255,0.5671310158570367,0.001388559187350922,0.9043722755041594,0.019322527488039073,0.5716346734070024,0.0038260735438816165,0.19027323298274382,0.0037739195697980166
