method,drift_level,gain_acc_mean,gain_acc_std,n
bn_statistics_adaptation,high,0.004350061323512017,0.04898266733147672,2700
bn_statistics_adaptation,moderate,0.00271789426135438,0.04707000941288355,2400
bn_statistics_adaptation,stable,0.009845369064480577,0.05611719284444038,2400
euclidean_alignment,high,0.002179456304038226,0.06090603649001031,2700
euclidean_alignment,moderate,0.002627280420132173,0.06156803500512782,2400
euclidean_alignment,stable,0.008672890899683459,0.08513727912501336,2400
filterbank_reweighting,high,-0.013136748447025047,0.06666190304171955,2700
filterbank_reweighting,moderate,-0.01459309428254411,0.0696762940577006,2400
filterbank_reweighting,stable,-0.016555014456248015,0.08958416927948078,2400
riemannian_alignment,high,0.004173379506960242,0.05914203582627602,2700
riemannian_alignment,moderate,0.006252056673730968,0.06057004755097767,2400
riemannian_alignment,stable,0.012163701615604856,0.0783094836068677,2400
session_zscore,high,0.004358999500917006,0.063179175611559,2700
session_zscore,moderate,0.010630553303421797,0.06351420519646893,2400
session_zscore,stable,0.02880324261690149,0.10639517418341479,2400
