model,within_ses03_acc,single_source_ses02_to_ses03_acc,multi_source_0102_to_03_acc,single_to_within_gap,multi_gain,gap_recovered
eegnet,0.82282,0.7492244897959184,0.7716595744680851,0.07359551020408162,0.022435084672166705,0.3048431162438283
deepconvnet,0.7872,0.7210816326530612,0.7564042553191489,0.06611836734693877,0.035322622666087655,0.534233134958422
fbcnet,0.73592,0.6483673469387755,0.6750212765957446,0.0875526530612245,0.02665392965696911,0.30443314651276576
