model,training_scope,protocol,train_sessions,test_session,mean_acc,std_acc,mean_bacc,std_bacc,n_subjects,n_seeds
eegnet,single_source,all_directed_pairs,all_single,all_targets,0.7105416666666667,0.007995551485488573,0.7105416666666667,0.007995551485488573,50,5
eegnet,single_source,best_single_to_ses03,ses-02,ses-03,0.7492244897959184,0.00812557626188271,0.7492244897959184,0.00812557626188271,49,5
eegnet,multi_source,ses01_ses02_to_ses03,ses-01+ses-02,ses-03,0.7716595744680851,0.0031433244994764236,0.7716595744680851,0.0031433244994764236,47,5
deepconvnet,single_source,all_directed_pairs,all_single,all_targets,0.6811041666666667,0.0023977598936749315,0.6811041666666667,0.0023977598936749315,50,5
deepconvnet,single_source,best_single_to_ses03,ses-02,ses-03,0.7210816326530612,0.008827704298514252,0.7210816326530612,0.008827704298514252,49,5
deepconvnet,multi_source,ses01_ses02_to_ses03,ses-01+ses-02,ses-03,0.7564042553191489,0.00718109534651476,0.7564042553191489,0.00718109534651476,47,5
fbcnet,single_source,all_directed_pairs,all_single,all_targets,0.6279930555555555,0.0027595670425531516,0.6279930555555555,0.0027595670425531516,50,5
fbcnet,single_source,best_single_to_ses03,ses-02,ses-03,0.6483673469387755,0.005020574080550189,0.6483673469387755,0.005020574080550189,49,5
fbcnet,multi_source,ses01_ses02_to_ses03,ses-01+ses-02,ses-03,0.6750212765957446,0.0017185379154305031,0.6750212765957446,0.0017185379154305031,47,5
