pair,n,mmd_mean,mmd_median,mu_ks_mean,mu_power_shift_mean,beta_power_shift_mean,csp_similarity_mean,erd_mu_corr_mean,erd_beta_corr_mean,rms_ratio_median,fisher_shift_mean
01-02,47,0.237459,0.204019,0.274732,0.050390,0.039849,0.410902,0.384099,0.507487,0.945940,-0.003422
01-03,48,0.246889,0.215257,0.269639,0.053323,0.042957,0.421339,0.413894,0.433365,0.963599,-0.001760
02-03,49,0.230035,0.196850,0.196029,-0.008486,-0.003799,0.426572,0.458744,0.503816,1.041170,0.001691
