method,model,training_scope,n_seeds,n_obs,acc_mean,acc_std,bacc_mean,bacc_std,f1_mean,f1_std,auc_mean,auc_std,nll_mean,nll_std,brier_mean,brier_std,ece_mean,ece_std
bn_statistics_adaptation,deepconvnet,multi_source,5,235,0.7593829787234043,0.00489102614115331,0.7593829787234043,0.004891026141153291,0.7535454292878632,0.004289124946871536,0.819722765957447,0.004300644387271187,0.7142370947418695,0.010749016317543096,0.36274935322071655,0.0051995253327826105,0.1443285360437758,0.0029273848225135034
bn_statistics_adaptation,deepconvnet,single_source,5,1440,0.6912395833333334,0.0022802112678271392,0.6912395833333334,0.0022802112678271392,0.6844348235130676,0.0022354993680337673,0.7463020833333334,0.003270050301412094,0.9536907136970614,0.00986220010682595,0.46939470509056375,0.0027929715896855526,0.19631340321029225,0.0012301855424389683
bn_statistics_adaptation,eegnet,multi_source,5,235,0.770404255319149,0.004337712961310573,0.7704042553191489,0.004337712961310573,0.7658296008985018,0.004883889898037171,0.8267908510638298,0.004202248239584293,0.568760696322994,0.020312276112411962,0.3222951604282972,0.008090368141191387,0.11040565426933,0.0018891119664278646
bn_statistics_adaptation,eegnet,single_source,5,1440,0.7124548611111111,0.007498839287755166,0.7124548611111111,0.007498839287755166,0.7065336802532421,0.007496946337850422,0.7669812152777777,0.008086759977776914,0.6790741924429312,0.022611489932060157,0.39217872643179935,0.011008761777419622,0.12956434390279975,0.004741302673316653
bn_statistics_adaptation,fbcnet,multi_source,5,235,0.6854680851063829,0.003102737587063776,0.6854680851063829,0.003102737587063776,0.6779116594634307,0.004756517314717722,0.7392659574468085,0.002552935093509145,0.6401773048723315,0.021476798650935387,0.4112425951473776,0.00782264172415046,0.12255288390403093,0.005421553433549567
bn_statistics_adaptation,fbcnet,single_source,5,1440,0.63890625,0.002837105162337226,0.63890625,0.002837105162337226,0.6228968716608337,0.003956409701712604,0.6898357291666667,0.003607577453425704,0.8782336668732265,0.01995901223133845,0.48281916360982474,0.003951502724577518,0.16004663988099327,0.003392537522179896
euclidean_alignment,deepconvnet,multi_source,5,235,0.7192340425531916,0.006689586374874631,0.7192340425531916,0.006689586374874568,0.70921292566398,0.009302498733127378,0.7804027659574468,0.004599000698431546,0.7188092220970925,0.03900300250555159,0.3931558433142167,0.010189241598171845,0.13427591124367205,0.007122779256022549
euclidean_alignment,deepconvnet,single_source,5,1440,0.6390347222222222,0.003681416958946289,0.6390347222222222,0.003681416958946289,0.6037825626207965,0.005740800444067454,0.7083201736111112,0.004043340705775655,0.8261232225948738,0.026268016924798892,0.4793271631668885,0.0048880161633791394,0.15893303544964227,0.0037044521009163556
euclidean_alignment,eegnet,multi_source,5,235,0.7567234042553191,0.011256183854488512,0.7567234042553191,0.011256183854488512,0.7538785354065868,0.012123860462448696,0.8082121276595744,0.01070218084247183,0.6216908640208397,0.02513093819499987,0.3332365639389033,0.014956163451328235,0.10303790297660417,0.005194247469477103
euclidean_alignment,eegnet,single_source,5,1440,0.6984201388888889,0.013074551229521999,0.6984201388888889,0.013074551229521999,0.6940376782901659,0.013080375756274246,0.74784,0.014218584588815378,0.6843917772018662,0.025250206764679792,0.40044599107735435,0.014859617704689092,0.11767526198240615,0.004064155780735442
euclidean_alignment,fbcnet,multi_source,5,235,0.6832553191489362,0.005296376786258604,0.6832553191489362,0.005296376786258604,0.653677822709053,0.007696697914693082,0.7590202127659574,0.004193670023521613,0.710453853629371,0.03137734053969725,0.431343783255839,0.008537301495816245,0.14826223663700383,0.0037254434624470903
euclidean_alignment,fbcnet,single_source,5,1440,0.64590625,0.005547187708538934,0.64590625,0.005547187708538934,0.6118161721842782,0.006122148322641442,0.7179264583333334,0.005534066631106538,0.923502172163636,0.01499232785391647,0.48796056020983325,0.006847520371828254,0.17397554440258273,0.004463216240480682
