training_scope,protocol,model,seed,mean_acc,mean_bacc,mean_f1,mean_auc,mean_nll,mean_brier,mean_ece,n_subject_rows
multi_source,multisource_0102_to_03,deepconvnet,0,0.7428723404255319,0.7428723404255319,0.7308426746510819,0.808413829787234,0.6459447514820607,0.35713334753012366,0.1258611714269252,47
multi_source,multisource_0102_to_03,deepconvnet,1,0.7624468085106383,0.7624468085106383,0.7548039866238216,0.8215585106382979,0.5964950871594409,0.3387841323079284,0.11600452768041727,47
multi_source,multisource_0102_to_03,deepconvnet,2,0.759468085106383,0.759468085106383,0.7525295339261441,0.8219234042553192,0.5995767424873849,0.3316196941154779,0.1131075841378658,47
multi_source,multisource_0102_to_03,deepconvnet,3,0.7555319148936169,0.7555319148936169,0.744707402545211,0.8142170212765958,0.623322920437823,0.35007714980827503,0.1229267604617362,47
multi_source,multisource_0102_to_03,deepconvnet,4,0.7617021276595745,0.7617021276595745,0.7530232732393464,0.8213117021276596,0.6146233812608617,0.33704306741572165,0.11174930104549892,47
multi_source,multisource_0102_to_03,eegnet,0,0.7691489361702127,0.7691489361702127,0.7624243723775773,0.8269648936170213,0.5185093367670445,0.3099365284673353,0.09206220888711034,47
multi_source,multisource_0102_to_03,eegnet,1,0.7704255319148936,0.7704255319148936,0.7633606016233154,0.8296574468085107,0.5508761520873993,0.31234596117089247,0.10210496081950814,47
multi_source,multisource_0102_to_03,eegnet,2,0.768191489361702,0.768191489361702,0.7629321411006628,0.8186734042553191,0.5594325108414001,0.3222556053375369,0.10703791449678701,47
multi_source,multisource_0102_to_03,eegnet,3,0.773936170212766,0.773936170212766,0.7700557397851092,0.8218808510638298,0.575893576791946,0.32123390423425097,0.10526658503933152,47
multi_source,multisource_0102_to_03,eegnet,4,0.776595744680851,0.776595744680851,0.7725558376517132,0.8318946808510638,0.5564799648016057,0.3148920820212566,0.10376555228486971,47
multi_source,multisource_0102_to_03,fbcnet,0,0.6737234042553192,0.6737234042553192,0.6525989947750819,0.7412946808510639,0.7222341020056542,0.4352015334417249,0.14344339615487034,47
multi_source,multisource_0102_to_03,fbcnet,1,0.6726595744680851,0.6726595744680851,0.6412530426723758,0.7371702127659574,0.7398956563085952,0.44854671483729763,0.15694773932720749,47
multi_source,multisource_0102_to_03,fbcnet,2,0.6751063829787234,0.6751063829787234,0.6447859290652277,0.7373148936170212,0.765584019428872,0.4402416334839376,0.15133883287932007,47
multi_source,multisource_0102_to_03,fbcnet,3,0.676063829787234,0.676063829787234,0.649315750693127,0.7431372340425532,0.7756440058905394,0.44129398362544375,0.14988292074583942,47
multi_source,multisource_0102_to_03,fbcnet,4,0.6775531914893617,0.6775531914893617,0.6559154036368874,0.7369372340425532,0.6954154528360418,0.4354357398699946,0.14052222464946987,47
single_source,single_source_directed_pair,deepconvnet,0,0.67671875,0.67671875,0.65921121875,0.7363968750000001,0.8699007569444445,0.4529486006944444,0.16321257986111112,288
single_source,single_source_directed_pair,deepconvnet,1,0.6810416666666667,0.6810416666666667,0.6678320972222223,0.7399546875,0.8969974722222221,0.4478268368055556,0.15937793402777778,288
single_source,single_source_directed_pair,deepconvnet,2,0.6826388888888889,0.6826388888888889,0.668126798611111,0.7419690972222222,0.8488477083333333,0.4427705416666667,0.15694142708333333,288
single_source,single_source_directed_pair,deepconvnet,3,0.6837673611111111,0.6837673611111111,0.6686238333333333,0.7428824652777778,0.879041079861111,0.4473723680555556,0.16284417013888888,288
single_source,single_source_directed_pair,deepconvnet,4,0.6813541666666666,0.6813541666666666,0.6680473229166667,0.7436036458333333,0.8745209965277777,0.44503826041666666,0.15696046875,288
single_source,single_source_directed_pair,eegnet,0,0.7179861111111111,0.7179861111111111,0.7115025243055555,0.7700215277777778,0.7812559756944445,0.3939558263888889,0.13217859722222222,288
single_source,single_source_directed_pair,eegnet,1,0.7219270833333333,0.7219270833333333,0.7174966493055556,0.7713503472222222,0.8115351597222222,0.39119622569444445,0.13461141319444445,288
single_source,single_source_directed_pair,eegnet,2,0.7021180555555556,0.7021180555555556,0.6946246180555556,0.7516638888888889,0.8300201770833333,0.4137851388888889,0.13902640972222222,288
single_source,single_source_directed_pair,eegnet,3,0.7031597222222222,0.7031597222222222,0.69833790625,0.7548357638888888,0.8376647465277778,0.41827917708333334,0.14182006944444445,288
single_source,single_source_directed_pair,eegnet,4,0.7075173611111111,0.7075173611111111,0.7023225277777778,0.7550920138888889,0.84732271875,0.4081712638888889,0.13943005555555554,288
single_source,single_source_directed_pair,fbcnet,0,0.6234201388888889,0.6234201388888889,0.5853842395833334,0.6832730902777777,0.8850365069444445,0.5205358020833333,0.1900708715277778,288
single_source,single_source_directed_pair,fbcnet,1,0.63140625,0.63140625,0.5970405277777778,0.6914911458333334,0.8735803020833334,0.5106035277777778,0.18628735416666667,288
single_source,single_source_directed_pair,fbcnet,2,0.6301909722222222,0.6301909722222222,0.59755071875,0.6922352430555556,0.9180907187499999,0.5129712777777777,0.18505983680555554,288
single_source,single_source_directed_pair,fbcnet,3,0.6272048611111111,0.6272048611111111,0.5941420069444444,0.6889630208333333,0.8825750763888889,0.5140904374999999,0.18604399652777778,288
single_source,single_source_directed_pair,fbcnet,4,0.6277430555555555,0.6277430555555555,0.5934592430555555,0.6933414930555556,0.87056046875,0.5093601041666667,0.18298005208333334,288
