model,protocol,n_seeds,acc_mean,acc_std,acc_median,acc_min,acc_max,bacc_mean,bacc_std,bacc_median,bacc_min,bacc_max,f1_mean,f1_std,f1_median,f1_min,f1_max,auc_mean,auc_std,auc_median,auc_min,auc_max,nll_mean,nll_std,nll_median,nll_min,nll_max,brier_mean,brier_std,brier_median,brier_min,brier_max,ece_mean,ece_std,ece_median,ece_min,ece_max
eegnet,multisource_0102_to_03,5,0.7716595744680851,0.0031433244994764236,0.7704255319148936,0.768191489361702,0.776595744680851,0.7716595744680851,0.0031433244994764236,0.7704255319148936,0.768191489361702,0.776595744680851,0.7662657385076755,0.004200910440824702,0.7633606016233154,0.7624243723775773,0.7725558376517132,0.825814255319149,0.004889357563466959,0.8269648936170213,0.8186734042553191,0.8318946808510638,0.552238308257879,0.018808609293240183,0.5564799648016057,0.5185093367670445,0.575893576791946,0.31613281624625444,0.004853520782600354,0.3148920820212566,0.3099365284673353,0.3222556053375369,0.10204744430552133,0.005252195528217861,0.10376555228486971,0.09206220888711034,0.10703791449678701
deepconvnet,multisource_0102_to_03,5,0.7564042553191489,0.00718109534651476,0.759468085106383,0.7428723404255319,0.7624468085106383,0.7564042553191489,0.00718109534651476,0.759468085106383,0.7428723404255319,0.7624468085106383,0.7471813741971209,0.008875905088548236,0.7525295339261441,0.7308426746510819,0.7548039866238216,0.8174848936170213,0.0053647438771446555,0.8213117021276596,0.808413829787234,0.8219234042553192,0.6159925765655142,0.017901805053796023,0.6146233812608617,0.5964950871594409,0.6459447514820607,0.34293147823550535,0.009301441112977604,0.3387841323079284,0.3316196941154779,0.35713334753012366,0.1179298689504887,0.005532364290181708,0.11600452768041727,0.11174930104549892,0.1258611714269252
fbcnet,multisource_0102_to_03,5,0.6750212765957447,0.0017185379154305031,0.6751063829787234,0.6726595744680851,0.6775531914893617,0.6750212765957447,0.0017185379154305031,0.6751063829787234,0.6726595744680851,0.6775531914893617,0.6487738241685399,0.005261049961709005,0.649315750693127,0.6412530426723758,0.6559154036368874,0.7391708510638297,0.0025565219944316503,0.7373148936170212,0.7369372340425532,0.7431372340425532,0.7397546472939405,0.0290797389303154,0.7398956563085952,0.6954154528360418,0.7756440058905394,0.44014392105167965,0.0048689485594575355,0.4402416334839376,0.4352015334417249,0.44854671483729763,0.14842702275134143,0.005839918753585996,0.14988292074583942,0.14052222464946987,0.15694773932720749
