model,subject,ms_acc,s01_acc,s02_acc,best_single,delta_vs_best,delta_vs_s02
eegnet,sub-016,0.59,0.539,0.533,0.539,0.050999999999999934,0.05699999999999994
eegnet,sub-017,0.748,0.631,0.7230000000000001,0.7230000000000001,0.02499999999999991,0.02499999999999991
eegnet,sub-018,0.631,0.58,0.627,0.627,0.0040000000000000036,0.0040000000000000036
eegnet,sub-019,0.8150000000000001,0.592,0.8039999999999999,0.8039999999999999,0.01100000000000012,0.01100000000000012
eegnet,sub-020,0.503,0.572,0.48600000000000004,0.572,-0.06899999999999995,0.01699999999999996
eegnet,sub-021,0.789,0.708,0.713,0.713,0.07600000000000007,0.07600000000000007
eegnet,sub-022,0.807,0.5660000000000001,0.74,0.74,0.06700000000000006,0.06700000000000006
eegnet,sub-025,0.8469999999999999,0.813,0.806,0.813,0.03399999999999992,0.040999999999999814
eegnet,sub-027,0.747,0.69,0.667,0.69,0.05700000000000005,0.07999999999999996
eegnet,sub-028,0.522,0.527,0.51,0.527,-0.0050000000000000044,0.01200000000000001
eegnet,sub-029,0.8310000000000001,0.441,0.9349999999999999,0.9349999999999999,-0.10399999999999987,-0.10399999999999987
eegnet,sub-030,0.714,0.608,0.86,0.86,-0.14600000000000002,-0.14600000000000002
eegnet,sub-031,0.753,0.599,0.76,0.76,-0.007000000000000006,-0.007000000000000006
eegnet,sub-033,0.942,0.9030000000000001,0.898,0.9030000000000001,0.03899999999999981,0.04399999999999993
eegnet,sub-034,0.8300000000000001,0.74,0.859,0.859,-0.028999999999999915,-0.028999999999999915
eegnet,sub-035,0.9570000000000001,0.913,0.923,0.923,0.03400000000000003,0.03400000000000003
eegnet,sub-036,0.986,0.9710000000000001,0.986,0.986,0.0,0.0
eegnet,sub-037,0.898,0.8620000000000001,0.8939999999999999,0.8939999999999999,0.004000000000000115,0.004000000000000115
eegnet,sub-038,0.5439999999999999,0.46900000000000003,0.484,0.484,0.05999999999999994,0.05999999999999994
eegnet,sub-039,0.457,0.437,0.5820000000000001,0.5820000000000001,-0.12500000000000006,-0.12500000000000006
eegnet,sub-040,0.807,0.725,0.6679999999999999,0.725,0.08200000000000007,0.13900000000000012
eegnet,sub-041,0.891,0.8560000000000001,0.899,0.899,-0.008000000000000007,-0.008000000000000007
eegnet,sub-042,0.674,0.632,0.609,0.632,0.04200000000000004,0.06500000000000006
eegnet,sub-043,0.9650000000000001,0.9120000000000001,0.899,0.9120000000000001,0.052999999999999936,0.06600000000000006
eegnet,sub-044,0.721,0.569,0.688,0.688,0.03300000000000003,0.03300000000000003
eegnet,sub-045,0.875,0.841,0.796,0.841,0.03400000000000003,0.07899999999999996
eegnet,sub-046,0.9650000000000001,0.945,0.9400000000000001,0.945,0.02000000000000013,0.025000000000000022
eegnet,sub-047,0.8699999999999999,0.776,0.743,0.776,0.09399999999999986,0.1269999999999999
eegnet,sub-048,0.8220000000000001,0.799,0.762,0.799,0.02300000000000002,0.06000000000000005
eegnet,sub-049,0.873,0.653,0.8550000000000001,0.8550000000000001,0.017999999999999905,0.017999999999999905
eegnet,sub-050,0.9640000000000001,0.925,0.951,0.951,0.013000000000000123,0.013000000000000123
eegnet,sub-051,0.8960000000000001,0.8480000000000001,0.8539999999999999,0.8539999999999999,0.04200000000000026,0.04200000000000026
fbcnet,sub-001,0.772,0.606,0.8089999999999999,0.8089999999999999,-0.03699999999999992,-0.03699999999999992
fbcnet,sub-002,0.521,0.477,0.546,0.546,-0.025000000000000022,-0.025000000000000022
fbcnet,sub-003,0.8029999999999999,0.75,0.623,0.75,0.052999999999999936,0.17999999999999994
fbcnet,sub-004,0.514,0.519,0.493,0.519,-0.0050000000000000044,0.02100000000000002
fbcnet,sub-005,0.8119999999999999,0.792,0.704,0.792,0.019999999999999907,0.10799999999999998
fbcnet,sub-006,0.8949999999999999,0.751,0.7030000000000001,0.751,0.1439999999999999,0.19199999999999984
fbcnet,sub-007,0.5599999999999999,0.529,0.564,0.564,-0.0040000000000000036,-0.0040000000000000036
fbcnet,sub-008,0.666,0.5509999999999999,0.689,0.689,-0.02299999999999991,-0.02299999999999991
fbcnet,sub-009,0.518,0.49400000000000005,0.48100000000000004,0.49400000000000005,0.023999999999999966,0.03699999999999998
fbcnet,sub-010,0.5509999999999999,0.49400000000000005,0.518,0.518,0.03299999999999992,0.03299999999999992
fbcnet,sub-011,0.683,0.6449999999999999,0.5429999999999999,0.6449999999999999,0.038000000000000145,0.14000000000000012
fbcnet,sub-012,0.504,0.506,0.521,0.521,-0.017000000000000015,-0.017000000000000015
fbcnet,sub-013,0.5660000000000001,0.531,0.508,0.531,0.03500000000000003,0.05800000000000005
fbcnet,sub-014,0.485,0.5,0.483,0.5,-0.015000000000000013,0.0020000000000000018
