========================================================
Project : /share/home/yuan/SYX/eeg-mi-online
Env     : mi_torch_cu118
Args    : --config configs/session_multisource_compare.yaml --models eegnet,deepconvnet,fbcnet --seeds 1
Node    : gpu01  |  Start: Mon Jun  8 22:15:28 CST 2026
========================================================
[env] python: /share/home/yuan/.conda/envs/mi_torch_cu118/bin/python | CONDA_DEFAULT_ENV=mi_torch_cu118
Mon Jun  8 22:15:29 2026       
+-----------------------------------------------------------------------------------------+
| NVIDIA-SMI 570.153.02             Driver Version: 570.153.02     CUDA Version: 12.8     |
|-----------------------------------------+------------------------+----------------------+
| GPU  Name                 Persistence-M | Bus-Id          Disp.A | Volatile Uncorr. ECC |
| Fan  Temp   Perf          Pwr:Usage/Cap |           Memory-Usage | GPU-Util  Compute M. |
|                                         |                        |               MIG M. |
|=========================================+========================+======================|
|   0  NVIDIA GeForce RTX 4090 D      On  |   00000000:21:00.0 Off |                  Off |
| 30%   29C    P8             23W /  425W |       1MiB /  24564MiB |      0%      Default |
|                                         |                        |                  N/A |
+-----------------------------------------+------------------------+----------------------+
                                                                                         
+-----------------------------------------------------------------------------------------+
| Processes:                                                                              |
|  GPU   GI   CI              PID   Type   Process name                        GPU Memory |
|        ID   ID                                                               Usage      |
|=========================================================================================|
|  No running processes found                                                             |
+-----------------------------------------------------------------------------------------+
[cuda-check] torch=2.7.1+cu118 cuda_build=11.8 cuda_avail=True
2026-06-08 22:19:02 | INFO    | train_session_multisource | [multisource] eegnet      sub-029 seed=1 acc=0.8000 (n_train=320 n_val=80 n_test=200)
2026-06-08 22:19:22 | INFO    | train_session_multisource | [multisource] eegnet      sub-030 seed=1 acc=0.5200 (n_train=320 n_val=80 n_test=200)
2026-06-08 22:19:31 | INFO    | train_session_multisource | [multisource] eegnet      sub-031 seed=1 acc=0.7900 (n_train=320 n_val=80 n_test=200)
2026-06-08 22:19:41 | INFO    | train_session_multisource | [multisource] eegnet      sub-033 seed=1 acc=0.9450 (n_train=320 n_val=80 n_test=200)
2026-06-08 22:19:47 | INFO    | train_session_multisource | [multisource] eegnet      sub-034 seed=1 acc=0.8000 (n_train=320 n_val=80 n_test=200)
2026-06-08 22:20:01 | INFO    | train_session_multisource | [multisource] eegnet      sub-035 seed=1 acc=0.9800 (n_train=320 n_val=80 n_test=200)
2026-06-08 22:20:07 | INFO    | train_session_multisource | [multisource] eegnet      sub-036 seed=1 acc=0.9900 (n_train=320 n_val=80 n_test=200)
2026-06-08 22:20:12 | INFO    | train_session_multisource | [multisource] eegnet      sub-037 seed=1 acc=0.8650 (n_train=320 n_val=80 n_test=200)
2026-06-08 22:20:26 | INFO    | train_session_multisource | [multisource] eegnet      sub-038 seed=1 acc=0.5400 (n_train=320 n_val=80 n_test=200)
2026-06-08 22:20:34 | INFO    | train_session_multisource | [multisource] eegnet      sub-039 seed=1 acc=0.5600 (n_train=320 n_val=80 n_test=200)
2026-06-08 22:20:41 | INFO    | train_session_multisource | [multisource] eegnet      sub-040 seed=1 acc=0.8300 (n_train=320 n_val=80 n_test=200)
2026-06-08 22:20:49 | INFO    | train_session_multisource | [multisource] eegnet      sub-041 seed=1 acc=0.8850 (n_train=320 n_val=80 n_test=200)
2026-06-08 22:20:55 | INFO    | train_session_multisource | [multisource] eegnet      sub-042 seed=1 acc=0.6800 (n_train=320 n_val=80 n_test=200)
2026-06-08 22:21:14 | INFO    | train_session_multisource | [multisource] eegnet      sub-043 seed=1 acc=0.9950 (n_train=320 n_val=80 n_test=200)
2026-06-08 22:21:20 | INFO    | train_session_multisource | [multisource] eegnet      sub-044 seed=1 acc=0.7050 (n_train=320 n_val=80 n_test=200)
2026-06-08 22:21:26 | INFO    | train_session_multisource | [multisource] eegnet      sub-045 seed=1 acc=0.8850 (n_train=320 n_val=80 n_test=200)
2026-06-08 22:21:45 | INFO    | train_session_multisource | [multisource] eegnet      sub-046 seed=1 acc=0.9750 (n_train=320 n_val=80 n_test=200)
2026-06-08 22:21:58 | INFO    | train_session_multisource | [multisource] eegnet      sub-047 seed=1 acc=0.8900 (n_train=320 n_val=80 n_test=200)
2026-06-08 22:22:05 | INFO    | train_session_multisource | [multisource] eegnet      sub-048 seed=1 acc=0.7950 (n_train=320 n_val=80 n_test=200)
2026-06-08 22:22:12 | INFO    | train_session_multisource | [multisource] eegnet      sub-049 seed=1 acc=0.8750 (n_train=320 n_val=80 n_test=200)
2026-06-08 22:22:31 | INFO    | train_session_multisource | [multisource] eegnet      sub-050 seed=1 acc=0.9800 (n_train=320 n_val=80 n_test=200)
2026-06-08 22:22:42 | INFO    | train_session_multisource | [multisource] eegnet      sub-051 seed=1 acc=0.9050 (n_train=320 n_val=80 n_test=200)
2026-06-08 22:22:42 | INFO    | train_session_multisource | multisource_0102_to_03__eegnet: 47 rows (ok=47 failed=0) | used=47 skipped=4 | 429.4s
2026-06-08 22:22:42 | INFO    | train_session_multisource | === RUN multisource_0102_to_03__deepconvnet ===
2026-06-08 22:22:42 | INFO    | train_session_multisource | [multisource] model=deepconvnet | eligible subjects=47 | skipped=4 | ses-01+ses-02 -> ses-03
2026-06-08 22:22:42 | INFO    | train_session_multisource | [multisource][skip] sub-023 (missing ok session(s): ses-01)
2026-06-08 22:22:42 | INFO    | train_session_multisource | [multisource][skip] sub-024 (missing ok session(s): ses-02,ses-03)
2026-06-08 22:22:42 | INFO    | train_session_multisource | [multisource][skip] sub-026 (missing ok session(s): ses-01)
2026-06-08 22:22:42 | INFO    | train_session_multisource | [multisource][skip] sub-032 (missing ok session(s): ses-02)
2026-06-08 22:22:57 | INFO    | train_session_multisource | [multisource] deepconvnet sub-001 seed=1 acc=0.9800 (n_train=320 n_val=80 n_test=200)
2026-06-08 22:23:05 | INFO    | train_session_multisource | [multisource] deepconvnet sub-002 seed=1 acc=0.6700 (n_train=320 n_val=80 n_test=200)
2026-06-08 22:23:32 | INFO    | train_session_multisource | [multisource] deepconvnet sub-003 seed=1 acc=0.9550 (n_train=320 n_val=80 n_test=200)
2026-06-08 22:23:39 | INFO    | train_session_multisource | [multisource] deepconvnet sub-004 seed=1 acc=0.4850 (n_train=320 n_val=80 n_test=200)
2026-06-08 22:23:50 | INFO    | train_session_multisource | [multisource] deepconvnet sub-005 seed=1 acc=0.5900 (n_train=320 n_val=80 n_test=200)
2026-06-08 22:24:02 | INFO    | train_session_multisource | [multisource] deepconvnet sub-006 seed=1 acc=0.9450 (n_train=320 n_val=80 n_test=200)
2026-06-08 22:24:12 | INFO    | train_session_multisource | [multisource] deepconvnet sub-007 seed=1 acc=0.8750 (n_train=320 n_val=80 n_test=200)
2026-06-08 22:24:20 | INFO    | train_session_multisource | [multisource] deepconvnet sub-008 seed=1 acc=0.8000 (n_train=320 n_val=80 n_test=200)
2026-06-08 22:24:28 | INFO    | train_session_multisource | [multisource] deepconvnet sub-009 seed=1 acc=0.6100 (n_train=320 n_val=80 n_test=200)
2026-06-08 22:24:43 | INFO    | train_session_multisource | [multisource] deepconvnet sub-010 seed=1 acc=0.5600 (n_train=320 n_val=80 n_test=200)
2026-06-08 22:24:51 | INFO    | train_session_multisource | [multisource] deepconvnet sub-011 seed=1 acc=0.8400 (n_train=320 n_val=80 n_test=200)
2026-06-08 22:24:59 | INFO    | train_session_multisource | [multisource] deepconvnet sub-012 seed=1 acc=0.5100 (n_train=320 n_val=80 n_test=200)
2026-06-08 22:25:10 | INFO    | train_session_multisource | [multisource] deepconvnet sub-013 seed=1 acc=0.7400 (n_train=320 n_val=80 n_test=200)
2026-06-08 22:25:17 | INFO    | train_session_multisource | [multisource] deepconvnet sub-014 seed=1 acc=0.5050 (n_train=320 n_val=80 n_test=200)
2026-06-08 22:25:27 | INFO    | train_session_multisource | [multisource] deepconvnet sub-015 seed=1 acc=0.6250 (n_train=320 n_val=80 n_test=200)
2026-06-08 22:25:34 | INFO    | train_session_multisource | [multisource] deepconvnet sub-016 seed=1 acc=0.5650 (n_train=320 n_val=80 n_test=200)
2026-06-08 22:25:52 | INFO    | train_session_multisource | [multisource] deepconvnet sub-017 seed=1 acc=0.7100 (n_train=320 n_val=80 n_test=200)
2026-06-08 22:26:10 | INFO    | train_session_multisource | [multisource] deepconvnet sub-018 seed=1 acc=0.6700 (n_train=320 n_val=80 n_test=200)
2026-06-08 22:26:21 | INFO    | train_session_multisource | [multisource] deepconvnet sub-019 seed=1 acc=0.8850 (n_train=320 n_val=80 n_test=200)
2026-06-08 22:26:35 | INFO    | train_session_multisource | [multisource] deepconvnet sub-020 seed=1 acc=0.5600 (n_train=320 n_val=80 n_test=200)
2026-06-08 22:26:47 | INFO    | train_session_multisource | [multisource] deepconvnet sub-021 seed=1 acc=0.7700 (n_train=320 n_val=80 n_test=200)
2026-06-08 22:27:05 | INFO    | train_session_multisource | [multisource] deepconvnet sub-022 seed=1 acc=0.7950 (n_train=320 n_val=80 n_test=200)
2026-06-08 22:27:15 | INFO    | train_session_multisource | [multisource] deepconvnet sub-025 seed=1 acc=0.8550 (n_train=320 n_val=80 n_test=200)
2026-06-08 22:27:28 | INFO    | train_session_multisource | [multisource] deepconvnet sub-027 seed=1 acc=0.7800 (n_train=320 n_val=80 n_test=200)
2026-06-08 22:27:42 | INFO    | train_session_multisource | [multisource] deepconvnet sub-028 seed=1 acc=0.5000 (n_train=320 n_val=80 n_test=200)
2026-06-08 22:28:00 | INFO    | train_session_multisource | [multisource] deepconvnet sub-029 seed=1 acc=0.9500 (n_train=320 n_val=80 n_test=200)
2026-06-08 22:28:06 | INFO    | train_session_multisource | [multisource] deepconvnet sub-030 seed=1 acc=0.7200 (n_train=320 n_val=80 n_test=200)
2026-06-08 22:28:14 | INFO    | train_session_multisource | [multisource] deepconvnet sub-031 seed=1 acc=0.7850 (n_train=320 n_val=80 n_test=200)
2026-06-08 22:28:37 | INFO    | train_session_multisource | [multisource] deepconvnet sub-033 seed=1 acc=0.9150 (n_train=320 n_val=80 n_test=200)
2026-06-08 22:28:48 | INFO    | train_session_multisource | [multisource] deepconvnet sub-034 seed=1 acc=0.8600 (n_train=320 n_val=80 n_test=200)
2026-06-08 22:29:02 | INFO    | train_session_multisource | [multisource] deepconvnet sub-035 seed=1 acc=0.9500 (n_train=320 n_val=80 n_test=200)
2026-06-08 22:29:13 | INFO    | train_session_multisource | [multisource] deepconvnet sub-036 seed=1 acc=0.9850 (n_train=320 n_val=80 n_test=200)
2026-06-08 22:29:20 | INFO    | train_session_multisource | [multisource] deepconvnet sub-037 seed=1 acc=0.8400 (n_train=320 n_val=80 n_test=200)
2026-06-08 22:29:29 | INFO    | train_session_multisource | [multisource] deepconvnet sub-038 seed=1 acc=0.6400 (n_train=320 n_val=80 n_test=200)
2026-06-08 22:29:41 | INFO    | train_session_multisource | [multisource] deepconvnet sub-039 seed=1 acc=0.4750 (n_train=320 n_val=80 n_test=200)
2026-06-08 22:29:52 | INFO    | train_session_multisource | [multisource] deepconvnet sub-040 seed=1 acc=0.7150 (n_train=320 n_val=80 n_test=200)
2026-06-08 22:30:01 | INFO    | train_session_multisource | [multisource] deepconvnet sub-041 seed=1 acc=0.8600 (n_train=320 n_val=80 n_test=200)
2026-06-08 22:30:12 | INFO    | train_session_multisource | [multisource] deepconvnet sub-042 seed=1 acc=0.6600 (n_train=320 n_val=80 n_test=200)
2026-06-08 22:30:26 | INFO    | train_session_multisource | [multisource] deepconvnet sub-043 seed=1 acc=0.9500 (n_train=320 n_val=80 n_test=200)
2026-06-08 22:30:33 | INFO    | train_session_multisource | [multisource] deepconvnet sub-044 seed=1 acc=0.7550 (n_train=320 n_val=80 n_test=200)
2026-06-08 22:30:43 | INFO    | train_session_multisource | [multisource] deepconvnet sub-045 seed=1 acc=0.8600 (n_train=320 n_val=80 n_test=200)
2026-06-08 22:30:55 | INFO    | train_session_multisource | [multisource] deepconvnet sub-046 seed=1 acc=0.9700 (n_train=320 n_val=80 n_test=200)
2026-06-08 22:31:04 | INFO    | train_session_multisource | [multisource] deepconvnet sub-047 seed=1 acc=0.7750 (n_train=320 n_val=80 n_test=200)
2026-06-08 22:31:13 | INFO    | train_session_multisource | [multisource] deepconvnet sub-048 seed=1 acc=0.8150 (n_train=320 n_val=80 n_test=200)
2026-06-08 22:31:28 | INFO    | train_session_multisource | [multisource] deepconvnet sub-049 seed=1 acc=0.8600 (n_train=320 n_val=80 n_test=200)
2026-06-08 22:31:42 | INFO    | train_session_multisource | [multisource] deepconvnet sub-050 seed=1 acc=0.8600 (n_train=320 n_val=80 n_test=200)
2026-06-08 22:31:53 | INFO    | train_session_multisource | [multisource] deepconvnet sub-051 seed=1 acc=0.8550 (n_train=320 n_val=80 n_test=200)
2026-06-08 22:31:53 | INFO    | train_session_multisource | multisource_0102_to_03__deepconvnet: 47 rows (ok=47 failed=0) | used=47 skipped=4 | 551.5s
2026-06-08 22:31:53 | INFO    | train_session_multisource | === RUN multisource_0102_to_03__fbcnet ===
2026-06-08 22:31:53 | INFO    | train_session_multisource | [multisource] model=fbcnet | eligible subjects=47 | skipped=4 | ses-01+ses-02 -> ses-03
2026-06-08 22:31:53 | INFO    | train_session_multisource | [multisource][skip] sub-023 (missing ok session(s): ses-01)
2026-06-08 22:31:53 | INFO    | train_session_multisource | [multisource][skip] sub-024 (missing ok session(s): ses-02,ses-03)
2026-06-08 22:31:53 | INFO    | train_session_multisource | [multisource][skip] sub-026 (missing ok session(s): ses-01)
2026-06-08 22:31:53 | INFO    | train_session_multisource | [multisource][skip] sub-032 (missing ok session(s): ses-02)
2026-06-08 22:31:59 | INFO    | train_session_multisource | [multisource] fbcnet      sub-001 seed=1 acc=0.7050 (n_train=320 n_val=80 n_test=200)
2026-06-08 22:32:04 | INFO    | train_session_multisource | [multisource] fbcnet      sub-002 seed=1 acc=0.5500 (n_train=320 n_val=80 n_test=200)
2026-06-08 22:32:12 | INFO    | train_session_multisource | [multisource] fbcnet      sub-003 seed=1 acc=0.8250 (n_train=320 n_val=80 n_test=200)
2026-06-08 22:32:17 | INFO    | train_session_multisource | [multisource] fbcnet      sub-004 seed=1 acc=0.5150 (n_train=320 n_val=80 n_test=200)
2026-06-08 22:32:30 | INFO    | train_session_multisource | [multisource] fbcnet      sub-005 seed=1 acc=0.8200 (n_train=320 n_val=80 n_test=200)
2026-06-08 22:32:47 | INFO    | train_session_multisource | [multisource] fbcnet      sub-006 seed=1 acc=0.9050 (n_train=320 n_val=80 n_test=200)
2026-06-08 22:32:55 | INFO    | train_session_multisource | [multisource] fbcnet      sub-007 seed=1 acc=0.5450 (n_train=320 n_val=80 n_test=200)
2026-06-08 22:32:59 | INFO    | train_session_multisource | [multisource] fbcnet      sub-008 seed=1 acc=0.5300 (n_train=320 n_val=80 n_test=200)
2026-06-08 22:33:05 | INFO    | train_session_multisource | [multisource] fbcnet      sub-009 seed=1 acc=0.4950 (n_train=320 n_val=80 n_test=200)
2026-06-08 22:33:14 | INFO    | train_session_multisource | [multisource] fbcnet      sub-010 seed=1 acc=0.5600 (n_train=320 n_val=80 n_test=200)
2026-06-08 22:33:24 | INFO    | train_session_multisource | [multisource] fbcnet      sub-011 seed=1 acc=0.6500 (n_train=320 n_val=80 n_test=200)
2026-06-08 22:33:28 | INFO    | train_session_multisource | [multisource] fbcnet      sub-012 seed=1 acc=0.5350 (n_train=320 n_val=80 n_test=200)
2026-06-08 22:33:38 | INFO    | train_session_multisource | [multisource] fbcnet      sub-013 seed=1 acc=0.5700 (n_train=320 n_val=80 n_test=200)
2026-06-08 22:33:43 | INFO    | train_session_multisource | [multisource] fbcnet      sub-014 seed=1 acc=0.4850 (n_train=320 n_val=80 n_test=200)
2026-06-08 22:33:50 | INFO    | train_session_multisource | [multisource] fbcnet      sub-015 seed=1 acc=0.5000 (n_train=320 n_val=80 n_test=200)
2026-06-08 22:33:54 | INFO    | train_session_multisource | [multisource] fbcnet      sub-016 seed=1 acc=0.5550 (n_train=320 n_val=80 n_test=200)
2026-06-08 22:34:03 | INFO    | train_session_multisource | [multisource] fbcnet      sub-017 seed=1 acc=0.6200 (n_train=320 n_val=80 n_test=200)
2026-06-08 22:34:10 | INFO    | train_session_multisource | [multisource] fbcnet      sub-018 seed=1 acc=0.5200 (n_train=320 n_val=80 n_test=200)
2026-06-08 22:34:15 | INFO    | train_session_multisource | [multisource] fbcnet      sub-019 seed=1 acc=0.5900 (n_train=320 n_val=80 n_test=200)
2026-06-08 22:34:23 | INFO    | train_session_multisource | [multisource] fbcnet      sub-020 seed=1 acc=0.4850 (n_train=320 n_val=80 n_test=200)
2026-06-08 22:34:36 | INFO    | train_session_multisource | [multisource] fbcnet      sub-021 seed=1 acc=0.6300 (n_train=320 n_val=80 n_test=200)
