========================================================
Project : /share/home/yuan/SYX/eeg-mi-online
Env     : mi_torch_cu118
Args    : --config configs/session_model_compare.yaml --models eegnet,deepconvnet,fbcnet --protocol within --seeds 2
Node    : gpu01  |  Start: Sun Jun  7 03:22:55 CST 2026
========================================================
[env] python: /share/home/yuan/.conda/envs/mi_torch_cu118/bin/python | CONDA_DEFAULT_ENV=mi_torch_cu118
Sun Jun  7 03:22:55 2026       
+-----------------------------------------------------------------------------------------+
| NVIDIA-SMI 570.153.02             Driver Version: 570.153.02     CUDA Version: 12.8     |
|-----------------------------------------+------------------------+----------------------+
| GPU  Name                 Persistence-M | Bus-Id          Disp.A | Volatile Uncorr. ECC |
| Fan  Temp   Perf          Pwr:Usage/Cap |           Memory-Usage | GPU-Util  Compute M. |
|                                         |                        |               MIG M. |
|=========================================+========================+======================|
|   0  NVIDIA GeForce RTX 4090 D      On  |   00000000:C1:00.0 Off |                  Off |
| 35%   44C    P0             63W /  425W |       1MiB /  24564MiB |      0%      Default |
|                                         |                        |                  N/A |
+-----------------------------------------+------------------------+----------------------+
                                                                                         
+-----------------------------------------------------------------------------------------+
| Processes:                                                                              |
|  GPU   GI   CI              PID   Type   Process name                        GPU Memory |
|        ID   ID                                                               Usage      |
|=========================================================================================|
|  No running processes found                                                             |
+-----------------------------------------------------------------------------------------+
[cuda-check] torch=2.7.1+cu118 cuda_build=11.8 cuda_avail=True
2026-06-07 04:03:36 | INFO    | train_session_models | [within] eegnet      sub-012/ses-03 seed=2 acc=0.6250 (folds=10)
2026-06-07 04:04:36 | INFO    | train_session_models | [within] eegnet      sub-013/ses-01 seed=2 acc=0.7950 (folds=10)
2026-06-07 04:06:06 | INFO    | train_session_models | [within] eegnet      sub-013/ses-02 seed=2 acc=0.8050 (folds=10)
2026-06-07 04:07:37 | INFO    | train_session_models | [within] eegnet      sub-013/ses-03 seed=2 acc=0.8700 (folds=10)
2026-06-07 04:08:11 | INFO    | train_session_models | [within] eegnet      sub-014/ses-01 seed=2 acc=0.4750 (folds=10)
2026-06-07 04:08:52 | INFO    | train_session_models | [within] eegnet      sub-014/ses-02 seed=2 acc=0.4950 (folds=10)
2026-06-07 04:09:24 | INFO    | train_session_models | [within] eegnet      sub-014/ses-03 seed=2 acc=0.5050 (folds=10)
2026-06-07 04:10:29 | INFO    | train_session_models | [within] eegnet      sub-015/ses-01 seed=2 acc=0.7500 (folds=10)
2026-06-07 04:11:30 | INFO    | train_session_models | [within] eegnet      sub-015/ses-02 seed=2 acc=0.7650 (folds=10)
2026-06-07 04:13:04 | INFO    | train_session_models | [within] eegnet      sub-015/ses-03 seed=2 acc=0.6100 (folds=10)
2026-06-07 04:13:43 | INFO    | train_session_models | [within] eegnet      sub-016/ses-01 seed=2 acc=0.7550 (folds=10)
