Project: /share/home/yuan/SYX/eeg-mi-online
Env    : mi_torch_cu118
Args   : --methods bn_statistics_adaptation --models fbcnet --seeds 2 --protocols single,multi --tag-suffix bn_statistics_adaptation_fbcnet_s2
Node   : gpu01 | Start: Tue Jun  9 13:59:30 CST 2026
Tue Jun  9 13:59:30 2026       
+-----------------------------------------------------------------------------------------+
| NVIDIA-SMI 570.153.02             Driver Version: 570.153.02     CUDA Version: 12.8     |
|-----------------------------------------+------------------------+----------------------+
| GPU  Name                 Persistence-M | Bus-Id          Disp.A | Volatile Uncorr. ECC |
| Fan  Temp   Perf          Pwr:Usage/Cap |           Memory-Usage | GPU-Util  Compute M. |
|                                         |                        |               MIG M. |
|=========================================+========================+======================|
|   0  NVIDIA GeForce RTX 4090 D      On  |   00000000:21:00.0 Off |                  Off |
| 81%   49C    P0             80W /  425W |       1MiB /  24564MiB |      0%      Default |
|                                         |                        |                  N/A |
+-----------------------------------------+------------------------+----------------------+
                                                                                         
+-----------------------------------------------------------------------------------------+
| Processes:                                                                              |
|  GPU   GI   CI              PID   Type   Process name                        GPU Memory |
|        ID   ID                                                               Usage      |
|=========================================================================================|
|  No running processes found                                                             |
+-----------------------------------------------------------------------------------------+
[cuda-check] torch=2.7.1+cu118 cuda_build=11.8 cuda_avail=True
2026-06-09 13:59:33 | INFO    | train_session_alignment | device=cuda | cuda={'torch': '2.7.1+cu118', 'cuda_build': '11.8', 'cuda_available': True, 'device': 'cuda', 'device_name': 'NVIDIA GeForce RTX 4090 D'}
2026-06-09 13:59:33 | INFO    | train_session_alignment | loaded 148 ok sessions | methods=['bn_statistics_adaptation'] | models=['fbcnet'] | seeds=[2] | groups=['single', 'multi'] | tasks=335
2026-06-09 13:59:47 | INFO    | train_session_alignment | [align] bn_statistics_adaptation fbcnet      single_sub-001_ses01-to-ses02 seed=2 acc=0.6000 (ntr=160 nval=40 nte=200)
2026-06-09 13:59:58 | INFO    | train_session_alignment | [align] bn_statistics_adaptation fbcnet      single_sub-001_ses01-to-ses03 seed=2 acc=0.6600 (ntr=160 nval=40 nte=200)
2026-06-09 14:00:13 | INFO    | train_session_alignment | [align] bn_statistics_adaptation fbcnet      single_sub-001_ses02-to-ses01 seed=2 acc=0.6750 (ntr=160 nval=40 nte=200)
2026-06-09 14:00:28 | INFO    | train_session_alignment | [align] bn_statistics_adaptation fbcnet      single_sub-001_ses02-to-ses03 seed=2 acc=0.8100 (ntr=160 nval=40 nte=200)
2026-06-09 14:00:39 | INFO    | train_session_alignment | [align] bn_statistics_adaptation fbcnet      single_sub-001_ses03-to-ses01 seed=2 acc=0.6600 (ntr=160 nval=40 nte=200)
2026-06-09 14:00:50 | INFO    | train_session_alignment | [align] bn_statistics_adaptation fbcnet      single_sub-001_ses03-to-ses02 seed=2 acc=0.7000 (ntr=160 nval=40 nte=200)
2026-06-09 14:00:54 | INFO    | train_session_alignment | [align] bn_statistics_adaptation fbcnet      single_sub-002_ses01-to-ses02 seed=2 acc=0.5600 (ntr=160 nval=40 nte=200)
2026-06-09 14:00:57 | INFO    | train_session_alignment | [align] bn_statistics_adaptation fbcnet      single_sub-002_ses01-to-ses03 seed=2 acc=0.5550 (ntr=160 nval=40 nte=200)
2026-06-09 14:01:01 | INFO    | train_session_alignment | [align] bn_statistics_adaptation fbcnet      single_sub-002_ses02-to-ses01 seed=2 acc=0.4950 (ntr=160 nval=40 nte=200)
2026-06-09 14:01:05 | INFO    | train_session_alignment | [align] bn_statistics_adaptation fbcnet      single_sub-002_ses02-to-ses03 seed=2 acc=0.5850 (ntr=160 nval=40 nte=200)
2026-06-09 14:01:12 | INFO    | train_session_alignment | [align] bn_statistics_adaptation fbcnet      single_sub-002_ses03-to-ses01 seed=2 acc=0.5200 (ntr=160 nval=40 nte=200)
2026-06-09 14:01:18 | INFO    | train_session_alignment | [align] bn_statistics_adaptation fbcnet      single_sub-002_ses03-to-ses02 seed=2 acc=0.5650 (ntr=160 nval=40 nte=200)
2026-06-09 14:01:29 | INFO    | train_session_alignment | [align] bn_statistics_adaptation fbcnet      single_sub-003_ses01-to-ses02 seed=2 acc=0.7450 (ntr=160 nval=40 nte=200)
2026-06-09 14:01:40 | INFO    | train_session_alignment | [align] bn_statistics_adaptation fbcnet      single_sub-003_ses01-to-ses03 seed=2 acc=0.7100 (ntr=160 nval=40 nte=200)
2026-06-09 14:01:53 | INFO    | train_session_alignment | [align] bn_statistics_adaptation fbcnet      single_sub-003_ses02-to-ses01 seed=2 acc=0.6000 (ntr=160 nval=40 nte=200)
2026-06-09 14:02:06 | INFO    | train_session_alignment | [align] bn_statistics_adaptation fbcnet      single_sub-003_ses02-to-ses03 seed=2 acc=0.5650 (ntr=160 nval=40 nte=200)
2026-06-09 14:02:19 | INFO    | train_session_alignment | [align] bn_statistics_adaptation fbcnet      single_sub-003_ses03-to-ses01 seed=2 acc=0.6800 (ntr=160 nval=40 nte=200)
2026-06-09 14:02:31 | INFO    | train_session_alignment | [align] bn_statistics_adaptation fbcnet      single_sub-003_ses03-to-ses02 seed=2 acc=0.6950 (ntr=160 nval=40 nte=200)
2026-06-09 14:02:36 | INFO    | train_session_alignment | [align] bn_statistics_adaptation fbcnet      single_sub-004_ses01-to-ses02 seed=2 acc=0.5050 (ntr=160 nval=40 nte=200)
2026-06-09 14:02:40 | INFO    | train_session_alignment | [align] bn_statistics_adaptation fbcnet      single_sub-004_ses01-to-ses03 seed=2 acc=0.5800 (ntr=160 nval=40 nte=200)
2026-06-09 14:02:44 | INFO    | train_session_alignment | [align] bn_statistics_adaptation fbcnet      single_sub-004_ses02-to-ses01 seed=2 acc=0.5400 (ntr=160 nval=40 nte=200)
2026-06-09 14:02:48 | INFO    | train_session_alignment | [align] bn_statistics_adaptation fbcnet      single_sub-004_ses02-to-ses03 seed=2 acc=0.5050 (ntr=160 nval=40 nte=200)
2026-06-09 14:02:53 | INFO    | train_session_alignment | [align] bn_statistics_adaptation fbcnet      single_sub-004_ses03-to-ses01 seed=2 acc=0.5000 (ntr=160 nval=40 nte=200)
2026-06-09 14:02:57 | INFO    | train_session_alignment | [align] bn_statistics_adaptation fbcnet      single_sub-004_ses03-to-ses02 seed=2 acc=0.4700 (ntr=160 nval=40 nte=200)
2026-06-09 14:03:09 | INFO    | train_session_alignment | [align] bn_statistics_adaptation fbcnet      single_sub-005_ses01-to-ses02 seed=2 acc=0.8050 (ntr=160 nval=40 nte=200)
