Project: /share/home/yuan/SYX/eeg-mi-online
Env    : mi_torch_cu118
Args   : --methods session_zscore --models fbcnet --seeds 0 --protocols single,multi --tag-suffix session_zscore_fbcnet_s0
Node   : gpu01 | Start: Tue Jun  9 03:45:04 CST 2026
Tue Jun  9 03:45:04 2026       
+-----------------------------------------------------------------------------------------+
| NVIDIA-SMI 570.153.02             Driver Version: 570.153.02     CUDA Version: 12.8     |
|-----------------------------------------+------------------------+----------------------+
| GPU  Name                 Persistence-M | Bus-Id          Disp.A | Volatile Uncorr. ECC |
| Fan  Temp   Perf          Pwr:Usage/Cap |           Memory-Usage | GPU-Util  Compute M. |
|                                         |                        |               MIG M. |
|=========================================+========================+======================|
|   0  NVIDIA GeForce RTX 4090 D      On  |   00000000:41:00.0 Off |                  Off |
| 81%   48C    P0             74W /  425W |       1MiB /  24564MiB |     14%      Default |
|                                         |                        |                  N/A |
+-----------------------------------------+------------------------+----------------------+
                                                                                         
+-----------------------------------------------------------------------------------------+
| Processes:                                                                              |
|  GPU   GI   CI              PID   Type   Process name                        GPU Memory |
|        ID   ID                                                               Usage      |
|=========================================================================================|
|  No running processes found                                                             |
+-----------------------------------------------------------------------------------------+
[cuda-check] torch=2.7.1+cu118 cuda_build=11.8 cuda_avail=True
2026-06-09 03:48:47 | INFO    | train_session_alignment | [align] session_zscore         fbcnet      single_sub-005_ses02-to-ses01 seed=0 acc=0.7750 (ntr=160 nval=40 nte=200)
2026-06-09 03:49:00 | INFO    | train_session_alignment | [align] session_zscore         fbcnet      single_sub-005_ses02-to-ses03 seed=0 acc=0.7500 (ntr=160 nval=40 nte=200)
2026-06-09 03:49:06 | INFO    | train_session_alignment | [align] session_zscore         fbcnet      single_sub-005_ses03-to-ses01 seed=0 acc=0.7500 (ntr=160 nval=40 nte=200)
2026-06-09 03:49:12 | INFO    | train_session_alignment | [align] session_zscore         fbcnet      single_sub-005_ses03-to-ses02 seed=0 acc=0.7300 (ntr=160 nval=40 nte=200)
2026-06-09 03:49:26 | INFO    | train_session_alignment | [align] session_zscore         fbcnet      single_sub-006_ses01-to-ses02 seed=0 acc=0.8150 (ntr=160 nval=40 nte=200)
2026-06-09 03:49:41 | INFO    | train_session_alignment | [align] session_zscore         fbcnet      single_sub-006_ses01-to-ses03 seed=0 acc=0.8350 (ntr=160 nval=40 nte=200)
2026-06-09 03:49:50 | INFO    | train_session_alignment | [align] session_zscore         fbcnet      single_sub-006_ses02-to-ses01 seed=0 acc=0.9000 (ntr=160 nval=40 nte=200)
2026-06-09 03:50:00 | INFO    | train_session_alignment | [align] session_zscore         fbcnet      single_sub-006_ses02-to-ses03 seed=0 acc=0.9100 (ntr=160 nval=40 nte=200)
2026-06-09 03:50:15 | INFO    | train_session_alignment | [align] session_zscore         fbcnet      single_sub-006_ses03-to-ses01 seed=0 acc=0.8100 (ntr=160 nval=40 nte=200)
2026-06-09 03:50:31 | INFO    | train_session_alignment | [align] session_zscore         fbcnet      single_sub-006_ses03-to-ses02 seed=0 acc=0.8050 (ntr=160 nval=40 nte=200)
2026-06-09 03:50:35 | INFO    | train_session_alignment | [align] session_zscore         fbcnet      single_sub-007_ses01-to-ses02 seed=0 acc=0.4850 (ntr=160 nval=40 nte=200)
2026-06-09 03:50:39 | INFO    | train_session_alignment | [align] session_zscore         fbcnet      single_sub-007_ses01-to-ses03 seed=0 acc=0.5350 (ntr=160 nval=40 nte=200)
2026-06-09 03:50:48 | INFO    | train_session_alignment | [align] session_zscore         fbcnet      single_sub-007_ses02-to-ses01 seed=0 acc=0.5450 (ntr=160 nval=40 nte=200)
2026-06-09 03:50:58 | INFO    | train_session_alignment | [align] session_zscore         fbcnet      single_sub-007_ses02-to-ses03 seed=0 acc=0.6100 (ntr=160 nval=40 nte=200)
2026-06-09 03:51:03 | INFO    | train_session_alignment | [align] session_zscore         fbcnet      single_sub-007_ses03-to-ses01 seed=0 acc=0.5350 (ntr=160 nval=40 nte=200)
2026-06-09 03:51:09 | INFO    | train_session_alignment | [align] session_zscore         fbcnet      single_sub-007_ses03-to-ses02 seed=0 acc=0.5950 (ntr=160 nval=40 nte=200)
2026-06-09 03:51:14 | INFO    | train_session_alignment | [align] session_zscore         fbcnet      single_sub-008_ses01-to-ses02 seed=0 acc=0.4800 (ntr=160 nval=40 nte=200)
2026-06-09 03:51:19 | INFO    | train_session_alignment | [align] session_zscore         fbcnet      single_sub-008_ses01-to-ses03 seed=0 acc=0.4750 (ntr=160 nval=40 nte=200)
2026-06-09 03:51:27 | INFO    | train_session_alignment | [align] session_zscore         fbcnet      single_sub-008_ses02-to-ses01 seed=0 acc=0.5200 (ntr=160 nval=40 nte=200)
2026-06-09 03:51:34 | INFO    | train_session_alignment | [align] session_zscore         fbcnet      single_sub-008_ses02-to-ses03 seed=0 acc=0.5350 (ntr=160 nval=40 nte=200)
2026-06-09 03:51:46 | INFO    | train_session_alignment | [align] session_zscore         fbcnet      single_sub-008_ses03-to-ses01 seed=0 acc=0.5600 (ntr=160 nval=40 nte=200)
2026-06-09 03:51:58 | INFO    | train_session_alignment | [align] session_zscore         fbcnet      single_sub-008_ses03-to-ses02 seed=0 acc=0.6050 (ntr=160 nval=40 nte=200)
2026-06-09 03:52:02 | INFO    | train_session_alignment | [align] session_zscore         fbcnet      single_sub-009_ses01-to-ses02 seed=0 acc=0.6250 (ntr=160 nval=40 nte=200)
