Project: /share/home/yuan/SYX/eeg-mi-online
Env    : mi_torch_cu118
Args   : --methods euclidean_alignment --models eegnet --seeds 0 --protocols single,multi --tag-suffix euclidean_alignment_eegnet_s0
Node   : gpu01 | Start: Tue Jun  9 04:38:15 CST 2026
Tue Jun  9 04:38:16 2026       
+-----------------------------------------------------------------------------------------+
| NVIDIA-SMI 570.153.02             Driver Version: 570.153.02     CUDA Version: 12.8     |
|-----------------------------------------+------------------------+----------------------+
| GPU  Name                 Persistence-M | Bus-Id          Disp.A | Volatile Uncorr. ECC |
| Fan  Temp   Perf          Pwr:Usage/Cap |           Memory-Usage | GPU-Util  Compute M. |
|                                         |                        |               MIG M. |
|=========================================+========================+======================|
|   0  NVIDIA GeForce RTX 4090 D      On  |   00000000:61:00.0 Off |                  Off |
| 67%   46C    P0             70W /  425W |       1MiB /  24564MiB |      0%      Default |
|                                         |                        |                  N/A |
+-----------------------------------------+------------------------+----------------------+
                                                                                         
+-----------------------------------------------------------------------------------------+
| Processes:                                                                              |
|  GPU   GI   CI              PID   Type   Process name                        GPU Memory |
|        ID   ID                                                               Usage      |
|=========================================================================================|
|  No running processes found                                                             |
+-----------------------------------------------------------------------------------------+
[cuda-check] torch=2.7.1+cu118 cuda_build=11.8 cuda_avail=True
2026-06-09 04:38:19 | INFO    | train_session_alignment | device=cuda | cuda={'torch': '2.7.1+cu118', 'cuda_build': '11.8', 'cuda_available': True, 'device': 'cuda', 'device_name': 'NVIDIA GeForce RTX 4090 D'}
2026-06-09 04:38:19 | INFO    | train_session_alignment | loaded 148 ok sessions | methods=['euclidean_alignment'] | models=['eegnet'] | seeds=[0] | groups=['single', 'multi'] | tasks=335
2026-06-09 04:38:26 | INFO    | train_session_alignment | [align] euclidean_alignment    eegnet      single_sub-001_ses01-to-ses02 seed=0 acc=0.6650 (ntr=160 nval=40 nte=200)
2026-06-09 04:38:32 | INFO    | train_session_alignment | [align] euclidean_alignment    eegnet      single_sub-001_ses01-to-ses03 seed=0 acc=0.7250 (ntr=160 nval=40 nte=200)
2026-06-09 04:38:49 | INFO    | train_session_alignment | [align] euclidean_alignment    eegnet      single_sub-001_ses02-to-ses01 seed=0 acc=0.7600 (ntr=160 nval=40 nte=200)
2026-06-09 04:39:06 | INFO    | train_session_alignment | [align] euclidean_alignment    eegnet      single_sub-001_ses02-to-ses03 seed=0 acc=0.9950 (ntr=160 nval=40 nte=200)
2026-06-09 04:39:20 | INFO    | train_session_alignment | [align] euclidean_alignment    eegnet      single_sub-001_ses03-to-ses01 seed=0 acc=0.7650 (ntr=160 nval=40 nte=200)
2026-06-09 04:39:33 | INFO    | train_session_alignment | [align] euclidean_alignment    eegnet      single_sub-001_ses03-to-ses02 seed=0 acc=0.9650 (ntr=160 nval=40 nte=200)
2026-06-09 04:39:39 | INFO    | train_session_alignment | [align] euclidean_alignment    eegnet      single_sub-002_ses01-to-ses02 seed=0 acc=0.5750 (ntr=160 nval=40 nte=200)
2026-06-09 04:39:44 | INFO    | train_session_alignment | [align] euclidean_alignment    eegnet      single_sub-002_ses01-to-ses03 seed=0 acc=0.5950 (ntr=160 nval=40 nte=200)
2026-06-09 04:39:50 | INFO    | train_session_alignment | [align] euclidean_alignment    eegnet      single_sub-002_ses02-to-ses01 seed=0 acc=0.6600 (ntr=160 nval=40 nte=200)
2026-06-09 04:39:55 | INFO    | train_session_alignment | [align] euclidean_alignment    eegnet      single_sub-002_ses02-to-ses03 seed=0 acc=0.6400 (ntr=160 nval=40 nte=200)
2026-06-09 04:40:01 | INFO    | train_session_alignment | [align] euclidean_alignment    eegnet      single_sub-002_ses03-to-ses01 seed=0 acc=0.6150 (ntr=160 nval=40 nte=200)
