Project: /share/home/yuan/SYX/eeg-mi-online
Env    : mi_torch_cu118
Args   : --methods bn_statistics_adaptation --models deepconvnet --seeds 2 --protocols single,multi --tag-suffix bn_statistics_adaptation_deepconvnet_s2
Node   : gpu01 | Start: Tue Jun  9 12:56:15 CST 2026
Tue Jun  9 12:56:16 2026       
+-----------------------------------------------------------------------------------------+
| NVIDIA-SMI 570.153.02             Driver Version: 570.153.02     CUDA Version: 12.8     |
|-----------------------------------------+------------------------+----------------------+
| GPU  Name                 Persistence-M | Bus-Id          Disp.A | Volatile Uncorr. ECC |
| Fan  Temp   Perf          Pwr:Usage/Cap |           Memory-Usage | GPU-Util  Compute M. |
|                                         |                        |               MIG M. |
|=========================================+========================+======================|
|   0  NVIDIA GeForce RTX 4090 D      On  |   00000000:01:00.0 Off |                  Off |
| 34%   44C    P0             50W /  425W |       1MiB /  24564MiB |      0%      Default |
|                                         |                        |                  N/A |
+-----------------------------------------+------------------------+----------------------+
                                                                                         
+-----------------------------------------------------------------------------------------+
| Processes:                                                                              |
|  GPU   GI   CI              PID   Type   Process name                        GPU Memory |
|        ID   ID                                                               Usage      |
|=========================================================================================|
|  No running processes found                                                             |
+-----------------------------------------------------------------------------------------+
[cuda-check] torch=2.7.1+cu118 cuda_build=11.8 cuda_avail=True
2026-06-09 13:00:32 | INFO    | train_session_alignment | [align] bn_statistics_adaptation deepconvnet single_sub-005_ses01-to-ses02 seed=2 acc=0.8400 (ntr=160 nval=40 nte=200)
2026-06-09 13:00:52 | INFO    | train_session_alignment | [align] bn_statistics_adaptation deepconvnet single_sub-005_ses01-to-ses03 seed=2 acc=0.6100 (ntr=160 nval=40 nte=200)
2026-06-09 13:01:04 | INFO    | train_session_alignment | [align] bn_statistics_adaptation deepconvnet single_sub-005_ses02-to-ses01 seed=2 acc=0.7550 (ntr=160 nval=40 nte=200)
2026-06-09 13:01:15 | INFO    | train_session_alignment | [align] bn_statistics_adaptation deepconvnet single_sub-005_ses02-to-ses03 seed=2 acc=0.5150 (ntr=160 nval=40 nte=200)
2026-06-09 13:01:25 | INFO    | train_session_alignment | [align] bn_statistics_adaptation deepconvnet single_sub-005_ses03-to-ses01 seed=2 acc=0.6350 (ntr=160 nval=40 nte=200)
2026-06-09 13:01:36 | INFO    | train_session_alignment | [align] bn_statistics_adaptation deepconvnet single_sub-005_ses03-to-ses02 seed=2 acc=0.6300 (ntr=160 nval=40 nte=200)
2026-06-09 13:01:42 | INFO    | train_session_alignment | [align] bn_statistics_adaptation deepconvnet single_sub-006_ses01-to-ses02 seed=2 acc=0.8550 (ntr=160 nval=40 nte=200)
2026-06-09 13:01:49 | INFO    | train_session_alignment | [align] bn_statistics_adaptation deepconvnet single_sub-006_ses01-to-ses03 seed=2 acc=0.9550 (ntr=160 nval=40 nte=200)
2026-06-09 13:01:57 | INFO    | train_session_alignment | [align] bn_statistics_adaptation deepconvnet single_sub-006_ses02-to-ses01 seed=2 acc=0.8100 (ntr=160 nval=40 nte=200)
2026-06-09 13:02:04 | INFO    | train_session_alignment | [align] bn_statistics_adaptation deepconvnet single_sub-006_ses02-to-ses03 seed=2 acc=0.8600 (ntr=160 nval=40 nte=200)
2026-06-09 13:02:19 | INFO    | train_session_alignment | [align] bn_statistics_adaptation deepconvnet single_sub-006_ses03-to-ses01 seed=2 acc=0.6350 (ntr=160 nval=40 nte=200)
2026-06-09 13:02:33 | INFO    | train_session_alignment | [align] bn_statistics_adaptation deepconvnet single_sub-006_ses03-to-ses02 seed=2 acc=0.7600 (ntr=160 nval=40 nte=200)
2026-06-09 13:02:38 | INFO    | train_session_alignment | [align] bn_statistics_adaptation deepconvnet single_sub-007_ses01-to-ses02 seed=2 acc=0.5450 (ntr=160 nval=40 nte=200)
2026-06-09 13:02:43 | INFO    | train_session_alignment | [align] bn_statistics_adaptation deepconvnet single_sub-007_ses01-to-ses03 seed=2 acc=0.6500 (ntr=160 nval=40 nte=200)
2026-06-09 13:02:49 | INFO    | train_session_alignment | [align] bn_statistics_adaptation deepconvnet single_sub-007_ses02-to-ses01 seed=2 acc=0.6600 (ntr=160 nval=40 nte=200)
2026-06-09 13:02:54 | INFO    | train_session_alignment | [align] bn_statistics_adaptation deepconvnet single_sub-007_ses02-to-ses03 seed=2 acc=0.8300 (ntr=160 nval=40 nte=200)
2026-06-09 13:03:01 | INFO    | train_session_alignment | [align] bn_statistics_adaptation deepconvnet single_sub-007_ses03-to-ses01 seed=2 acc=0.6300 (ntr=160 nval=40 nte=200)
2026-06-09 13:03:09 | INFO    | train_session_alignment | [align] bn_statistics_adaptation deepconvnet single_sub-007_ses03-to-ses02 seed=2 acc=0.6700 (ntr=160 nval=40 nte=200)
2026-06-09 13:03:16 | INFO    | train_session_alignment | [align] bn_statistics_adaptation deepconvnet single_sub-008_ses01-to-ses02 seed=2 acc=0.6200 (ntr=160 nval=40 nte=200)
2026-06-09 13:03:23 | INFO    | train_session_alignment | [align] bn_statistics_adaptation deepconvnet single_sub-008_ses01-to-ses03 seed=2 acc=0.5750 (ntr=160 nval=40 nte=200)
2026-06-09 13:03:35 | INFO    | train_session_alignment | [align] bn_statistics_adaptation deepconvnet single_sub-008_ses02-to-ses01 seed=2 acc=0.7050 (ntr=160 nval=40 nte=200)
2026-06-09 13:03:46 | INFO    | train_session_alignment | [align] bn_statistics_adaptation deepconvnet single_sub-008_ses02-to-ses03 seed=2 acc=0.8550 (ntr=160 nval=40 nte=200)
2026-06-09 13:03:51 | INFO    | train_session_alignment | [align] bn_statistics_adaptation deepconvnet single_sub-008_ses03-to-ses01 seed=2 acc=0.5600 (ntr=160 nval=40 nte=200)
2026-06-09 13:03:56 | INFO    | train_session_alignment | [align] bn_statistics_adaptation deepconvnet single_sub-008_ses03-to-ses02 seed=2 acc=0.5200 (ntr=160 nval=40 nte=200)
2026-06-09 13:04:04 | INFO    | train_session_alignment | [align] bn_statistics_adaptation deepconvnet single_sub-009_ses01-to-ses02 seed=2 acc=0.7300 (ntr=160 nval=40 nte=200)
2026-06-09 13:04:12 | INFO    | train_session_alignment | [align] bn_statistics_adaptation deepconvnet single_sub-009_ses01-to-ses03 seed=2 acc=0.6050 (ntr=160 nval=40 nte=200)
2026-06-09 13:04:18 | INFO    | train_session_alignment | [align] bn_statistics_adaptation deepconvnet single_sub-009_ses02-to-ses01 seed=2 acc=0.5700 (ntr=160 nval=40 nte=200)
2026-06-09 13:04:23 | INFO    | train_session_alignment | [align] bn_statistics_adaptation deepconvnet single_sub-009_ses02-to-ses03 seed=2 acc=0.5750 (ntr=160 nval=40 nte=200)
2026-06-09 13:04:28 | INFO    | train_session_alignment | [align] bn_statistics_adaptation deepconvnet single_sub-009_ses03-to-ses01 seed=2 acc=0.5850 (ntr=160 nval=40 nte=200)
2026-06-09 13:04:33 | INFO    | train_session_alignment | [align] bn_statistics_adaptation deepconvnet single_sub-009_ses03-to-ses02 seed=2 acc=0.6300 (ntr=160 nval=40 nte=200)
2026-06-09 13:04:41 | INFO    | train_session_alignment | [align] bn_statistics_adaptation deepconvnet single_sub-010_ses01-to-ses02 seed=2 acc=0.6900 (ntr=160 nval=40 nte=200)
2026-06-09 13:04:48 | INFO    | train_session_alignment | [align] bn_statistics_adaptation deepconvnet single_sub-010_ses01-to-ses03 seed=2 acc=0.5450 (ntr=160 nval=40 nte=200)
2026-06-09 13:04:59 | INFO    | train_session_alignment | [align] bn_statistics_adaptation deepconvnet single_sub-010_ses02-to-ses01 seed=2 acc=0.7400 (ntr=160 nval=40 nte=200)
2026-06-09 13:05:10 | INFO    | train_session_alignment | [align] bn_statistics_adaptation deepconvnet single_sub-010_ses02-to-ses03 seed=2 acc=0.5500 (ntr=160 nval=40 nte=200)
2026-06-09 13:05:16 | INFO    | train_session_alignment | [align] bn_statistics_adaptation deepconvnet single_sub-010_ses03-to-ses01 seed=2 acc=0.4700 (ntr=160 nval=40 nte=200)
2026-06-09 13:05:21 | INFO    | train_session_alignment | [align] bn_statistics_adaptation deepconvnet single_sub-010_ses03-to-ses02 seed=2 acc=0.5350 (ntr=160 nval=40 nte=200)
2026-06-09 13:05:27 | INFO    | train_session_alignment | [align] bn_statistics_adaptation deepconvnet single_sub-011_ses01-to-ses02 seed=2 acc=0.6900 (ntr=160 nval=40 nte=200)
2026-06-09 13:05:33 | INFO    | train_session_alignment | [align] bn_statistics_adaptation deepconvnet single_sub-011_ses01-to-ses03 seed=2 acc=0.9300 (ntr=160 nval=40 nte=200)
2026-06-09 13:05:42 | INFO    | train_session_alignment | [align] bn_statistics_adaptation deepconvnet single_sub-011_ses02-to-ses01 seed=2 acc=0.8650 (ntr=160 nval=40 nte=200)
2026-06-09 13:05:52 | INFO    | train_session_alignment | [align] bn_statistics_adaptation deepconvnet single_sub-011_ses02-to-ses03 seed=2 acc=0.8600 (ntr=160 nval=40 nte=200)
