Project: /share/home/yuan/SYX/eeg-mi-online
Env    : mi_torch_cu118
Args   : --methods riemannian_alignment --models eegnet --seeds 4 --protocols single,multi --tag-suffix riemannian_alignment_eegnet_s4
Node   : gpu01 | Start: Tue Jun  9 08:43:02 CST 2026
Tue Jun  9 08:43:04 2026       
+-----------------------------------------------------------------------------------------+
| NVIDIA-SMI 570.153.02             Driver Version: 570.153.02     CUDA Version: 12.8     |
|-----------------------------------------+------------------------+----------------------+
| GPU  Name                 Persistence-M | Bus-Id          Disp.A | Volatile Uncorr. ECC |
| Fan  Temp   Perf          Pwr:Usage/Cap |           Memory-Usage | GPU-Util  Compute M. |
|                                         |                        |               MIG M. |
|=========================================+========================+======================|
|   0  NVIDIA GeForce RTX 4090 D      On  |   00000000:61:00.0 Off |                  Off |
| 30%   38C    P0             56W /  425W |       1MiB /  24564MiB |      0%      Default |
|                                         |                        |                  N/A |
+-----------------------------------------+------------------------+----------------------+
                                                                                         
+-----------------------------------------------------------------------------------------+
| Processes:                                                                              |
|  GPU   GI   CI              PID   Type   Process name                        GPU Memory |
|        ID   ID                                                               Usage      |
|=========================================================================================|
|  No running processes found                                                             |
+-----------------------------------------------------------------------------------------+
[cuda-check] torch=2.7.1+cu118 cuda_build=11.8 cuda_avail=True
2026-06-09 08:43:07 | INFO    | train_session_alignment | device=cuda | cuda={'torch': '2.7.1+cu118', 'cuda_build': '11.8', 'cuda_available': True, 'device': 'cuda', 'device_name': 'NVIDIA GeForce RTX 4090 D'}
2026-06-09 08:43:07 | INFO    | train_session_alignment | loaded 148 ok sessions | methods=['riemannian_alignment'] | models=['eegnet'] | seeds=[4] | groups=['single', 'multi'] | tasks=335
2026-06-09 08:43:16 | INFO    | train_session_alignment | [align] riemannian_alignment   eegnet      single_sub-001_ses01-to-ses02 seed=4 acc=0.7150 (ntr=160 nval=40 nte=200)
2026-06-09 08:43:23 | INFO    | train_session_alignment | [align] riemannian_alignment   eegnet      single_sub-001_ses01-to-ses03 seed=4 acc=0.8200 (ntr=160 nval=40 nte=200)
2026-06-09 08:43:40 | INFO    | train_session_alignment | [align] riemannian_alignment   eegnet      single_sub-001_ses02-to-ses01 seed=4 acc=0.7750 (ntr=160 nval=40 nte=200)
2026-06-09 08:43:57 | INFO    | train_session_alignment | [align] riemannian_alignment   eegnet      single_sub-001_ses02-to-ses03 seed=4 acc=0.9850 (ntr=160 nval=40 nte=200)
2026-06-09 08:44:14 | INFO    | train_session_alignment | [align] riemannian_alignment   eegnet      single_sub-001_ses03-to-ses01 seed=4 acc=0.8350 (ntr=160 nval=40 nte=200)
2026-06-09 08:44:31 | INFO    | train_session_alignment | [align] riemannian_alignment   eegnet      single_sub-001_ses03-to-ses02 seed=4 acc=0.9100 (ntr=160 nval=40 nte=200)
2026-06-09 08:44:36 | INFO    | train_session_alignment | [align] riemannian_alignment   eegnet      single_sub-002_ses01-to-ses02 seed=4 acc=0.5600 (ntr=160 nval=40 nte=200)
2026-06-09 08:44:40 | INFO    | train_session_alignment | [align] riemannian_alignment   eegnet      single_sub-002_ses01-to-ses03 seed=4 acc=0.5650 (ntr=160 nval=40 nte=200)
2026-06-09 08:44:46 | INFO    | train_session_alignment | [align] riemannian_alignment   eegnet      single_sub-002_ses02-to-ses01 seed=4 acc=0.5500 (ntr=160 nval=40 nte=200)
2026-06-09 08:44:52 | INFO    | train_session_alignment | [align] riemannian_alignment   eegnet      single_sub-002_ses02-to-ses03 seed=4 acc=0.6700 (ntr=160 nval=40 nte=200)
2026-06-09 08:45:01 | INFO    | train_session_alignment | [align] riemannian_alignment   eegnet      single_sub-002_ses03-to-ses01 seed=4 acc=0.6300 (ntr=160 nval=40 nte=200)
2026-06-09 08:45:09 | INFO    | train_session_alignment | [align] riemannian_alignment   eegnet      single_sub-002_ses03-to-ses02 seed=4 acc=0.6450 (ntr=160 nval=40 nte=200)
2026-06-09 08:45:17 | INFO    | train_session_alignment | [align] riemannian_alignment   eegnet      single_sub-003_ses01-to-ses02 seed=4 acc=0.7650 (ntr=160 nval=40 nte=200)
2026-06-09 08:45:25 | INFO    | train_session_alignment | [align] riemannian_alignment   eegnet      single_sub-003_ses01-to-ses03 seed=4 acc=0.8100 (ntr=160 nval=40 nte=200)
2026-06-09 08:45:42 | INFO    | train_session_alignment | [align] riemannian_alignment   eegnet      single_sub-003_ses02-to-ses01 seed=4 acc=0.7350 (ntr=160 nval=40 nte=200)
2026-06-09 08:45:59 | INFO    | train_session_alignment | [align] riemannian_alignment   eegnet      single_sub-003_ses02-to-ses03 seed=4 acc=0.7550 (ntr=160 nval=40 nte=200)
2026-06-09 08:46:16 | INFO    | train_session_alignment | [align] riemannian_alignment   eegnet      single_sub-003_ses03-to-ses01 seed=4 acc=0.5300 (ntr=160 nval=40 nte=200)
2026-06-09 08:46:33 | INFO    | train_session_alignment | [align] riemannian_alignment   eegnet      single_sub-003_ses03-to-ses02 seed=4 acc=0.5900 (ntr=160 nval=40 nte=200)
2026-06-09 08:46:38 | INFO    | train_session_alignment | [align] riemannian_alignment   eegnet      single_sub-004_ses01-to-ses02 seed=4 acc=0.5300 (ntr=160 nval=40 nte=200)
2026-06-09 08:46:43 | INFO    | train_session_alignment | [align] riemannian_alignment   eegnet      single_sub-004_ses01-to-ses03 seed=4 acc=0.4650 (ntr=160 nval=40 nte=200)
