Project: /share/home/yuan/SYX/eeg-mi-online
Env    : mi_torch_cu118
Args   : --methods riemannian_alignment --models eegnet --seeds 3 --protocols single,multi --tag-suffix riemannian_alignment_eegnet_s3
Node   : gpu01 | Start: Tue Jun  9 08:35:02 CST 2026
Tue Jun  9 08:35:03 2026       
+-----------------------------------------------------------------------------------------+
| NVIDIA-SMI 570.153.02             Driver Version: 570.153.02     CUDA Version: 12.8     |
|-----------------------------------------+------------------------+----------------------+
| GPU  Name                 Persistence-M | Bus-Id          Disp.A | Volatile Uncorr. ECC |
| Fan  Temp   Perf          Pwr:Usage/Cap |           Memory-Usage | GPU-Util  Compute M. |
|                                         |                        |               MIG M. |
|=========================================+========================+======================|
|   0  NVIDIA GeForce RTX 4090 D      On  |   00000000:01:00.0 Off |                  Off |
| 30%   42C    P0             50W /  425W |       1MiB /  24564MiB |      0%      Default |
|                                         |                        |                  N/A |
+-----------------------------------------+------------------------+----------------------+
                                                                                         
+-----------------------------------------------------------------------------------------+
| Processes:                                                                              |
|  GPU   GI   CI              PID   Type   Process name                        GPU Memory |
|        ID   ID                                                               Usage      |
|=========================================================================================|
|  No running processes found                                                             |
+-----------------------------------------------------------------------------------------+
[cuda-check] torch=2.7.1+cu118 cuda_build=11.8 cuda_avail=True
2026-06-09 08:38:11 | INFO    | train_session_alignment | [align] riemannian_alignment   eegnet      single_sub-005_ses01-to-ses03 seed=3 acc=0.7350 (ntr=160 nval=40 nte=200)
2026-06-09 08:38:16 | INFO    | train_session_alignment | [align] riemannian_alignment   eegnet      single_sub-005_ses02-to-ses01 seed=3 acc=0.6500 (ntr=160 nval=40 nte=200)
2026-06-09 08:38:22 | INFO    | train_session_alignment | [align] riemannian_alignment   eegnet      single_sub-005_ses02-to-ses03 seed=3 acc=0.5600 (ntr=160 nval=40 nte=200)
2026-06-09 08:38:27 | INFO    | train_session_alignment | [align] riemannian_alignment   eegnet      single_sub-005_ses03-to-ses01 seed=3 acc=0.6350 (ntr=160 nval=40 nte=200)
2026-06-09 08:38:33 | INFO    | train_session_alignment | [align] riemannian_alignment   eegnet      single_sub-005_ses03-to-ses02 seed=3 acc=0.5850 (ntr=160 nval=40 nte=200)
2026-06-09 08:38:41 | INFO    | train_session_alignment | [align] riemannian_alignment   eegnet      single_sub-006_ses01-to-ses02 seed=3 acc=0.8850 (ntr=160 nval=40 nte=200)
2026-06-09 08:38:50 | INFO    | train_session_alignment | [align] riemannian_alignment   eegnet      single_sub-006_ses01-to-ses03 seed=3 acc=0.9400 (ntr=160 nval=40 nte=200)
2026-06-09 08:39:08 | INFO    | train_session_alignment | [align] riemannian_alignment   eegnet      single_sub-006_ses02-to-ses01 seed=3 acc=0.7900 (ntr=160 nval=40 nte=200)
2026-06-09 08:39:26 | INFO    | train_session_alignment | [align] riemannian_alignment   eegnet      single_sub-006_ses02-to-ses03 seed=3 acc=0.8950 (ntr=160 nval=40 nte=200)
2026-06-09 08:39:37 | INFO    | train_session_alignment | [align] riemannian_alignment   eegnet      single_sub-006_ses03-to-ses01 seed=3 acc=0.8450 (ntr=160 nval=40 nte=200)
2026-06-09 08:39:47 | INFO    | train_session_alignment | [align] riemannian_alignment   eegnet      single_sub-006_ses03-to-ses02 seed=3 acc=0.8500 (ntr=160 nval=40 nte=200)
2026-06-09 08:39:53 | INFO    | train_session_alignment | [align] riemannian_alignment   eegnet      single_sub-007_ses01-to-ses02 seed=3 acc=0.6750 (ntr=160 nval=40 nte=200)
2026-06-09 08:39:58 | INFO    | train_session_alignment | [align] riemannian_alignment   eegnet      single_sub-007_ses01-to-ses03 seed=3 acc=0.6300 (ntr=160 nval=40 nte=200)
2026-06-09 08:40:04 | INFO    | train_session_alignment | [align] riemannian_alignment   eegnet      single_sub-007_ses02-to-ses01 seed=3 acc=0.6850 (ntr=160 nval=40 nte=200)
2026-06-09 08:40:10 | INFO    | train_session_alignment | [align] riemannian_alignment   eegnet      single_sub-007_ses02-to-ses03 seed=3 acc=0.7600 (ntr=160 nval=40 nte=200)
2026-06-09 08:40:18 | INFO    | train_session_alignment | [align] riemannian_alignment   eegnet      single_sub-007_ses03-to-ses01 seed=3 acc=0.6600 (ntr=160 nval=40 nte=200)
2026-06-09 08:40:26 | INFO    | train_session_alignment | [align] riemannian_alignment   eegnet      single_sub-007_ses03-to-ses02 seed=3 acc=0.7750 (ntr=160 nval=40 nte=200)
2026-06-09 08:40:34 | INFO    | train_session_alignment | [align] riemannian_alignment   eegnet      single_sub-008_ses01-to-ses02 seed=3 acc=0.6050 (ntr=160 nval=40 nte=200)
2026-06-09 08:40:41 | INFO    | train_session_alignment | [align] riemannian_alignment   eegnet      single_sub-008_ses01-to-ses03 seed=3 acc=0.6350 (ntr=160 nval=40 nte=200)
2026-06-09 08:40:50 | INFO    | train_session_alignment | [align] riemannian_alignment   eegnet      single_sub-008_ses02-to-ses01 seed=3 acc=0.6600 (ntr=160 nval=40 nte=200)
2026-06-09 08:40:59 | INFO    | train_session_alignment | [align] riemannian_alignment   eegnet      single_sub-008_ses02-to-ses03 seed=3 acc=0.8200 (ntr=160 nval=40 nte=200)
2026-06-09 08:41:13 | INFO    | train_session_alignment | [align] riemannian_alignment   eegnet      single_sub-008_ses03-to-ses01 seed=3 acc=0.5650 (ntr=160 nval=40 nte=200)
2026-06-09 08:41:26 | INFO    | train_session_alignment | [align] riemannian_alignment   eegnet      single_sub-008_ses03-to-ses02 seed=3 acc=0.7800 (ntr=160 nval=40 nte=200)
2026-06-09 08:41:33 | INFO    | train_session_alignment | [align] riemannian_alignment   eegnet      single_sub-009_ses01-to-ses02 seed=3 acc=0.7600 (ntr=160 nval=40 nte=200)
2026-06-09 08:41:39 | INFO    | train_session_alignment | [align] riemannian_alignment   eegnet      single_sub-009_ses01-to-ses03 seed=3 acc=0.6100 (ntr=160 nval=40 nte=200)
2026-06-09 08:41:45 | INFO    | train_session_alignment | [align] riemannian_alignment   eegnet      single_sub-009_ses02-to-ses01 seed=3 acc=0.6200 (ntr=160 nval=40 nte=200)
2026-06-09 08:41:51 | INFO    | train_session_alignment | [align] riemannian_alignment   eegnet      single_sub-009_ses02-to-ses03 seed=3 acc=0.5500 (ntr=160 nval=40 nte=200)
2026-06-09 08:41:56 | INFO    | train_session_alignment | [align] riemannian_alignment   eegnet      single_sub-009_ses03-to-ses01 seed=3 acc=0.5700 (ntr=160 nval=40 nte=200)
2026-06-09 08:42:01 | INFO    | train_session_alignment | [align] riemannian_alignment   eegnet      single_sub-009_ses03-to-ses02 seed=3 acc=0.5250 (ntr=160 nval=40 nte=200)
2026-06-09 08:42:09 | INFO    | train_session_alignment | [align] riemannian_alignment   eegnet      single_sub-010_ses01-to-ses02 seed=3 acc=0.8000 (ntr=160 nval=40 nte=200)
2026-06-09 08:42:17 | INFO    | train_session_alignment | [align] riemannian_alignment   eegnet      single_sub-010_ses01-to-ses03 seed=3 acc=0.5700 (ntr=160 nval=40 nte=200)
2026-06-09 08:42:23 | INFO    | train_session_alignment | [align] riemannian_alignment   eegnet      single_sub-010_ses02-to-ses01 seed=3 acc=0.6250 (ntr=160 nval=40 nte=200)
2026-06-09 08:42:29 | INFO    | train_session_alignment | [align] riemannian_alignment   eegnet      single_sub-010_ses02-to-ses03 seed=3 acc=0.5950 (ntr=160 nval=40 nte=200)
2026-06-09 08:42:37 | INFO    | train_session_alignment | [align] riemannian_alignment   eegnet      single_sub-010_ses03-to-ses01 seed=3 acc=0.5700 (ntr=160 nval=40 nte=200)
2026-06-09 08:42:45 | INFO    | train_session_alignment | [align] riemannian_alignment   eegnet      single_sub-010_ses03-to-ses02 seed=3 acc=0.6700 (ntr=160 nval=40 nte=200)
2026-06-09 08:42:51 | INFO    | train_session_alignment | [align] riemannian_alignment   eegnet      single_sub-011_ses01-to-ses02 seed=3 acc=0.7050 (ntr=160 nval=40 nte=200)
2026-06-09 08:42:57 | INFO    | train_session_alignment | [align] riemannian_alignment   eegnet      single_sub-011_ses01-to-ses03 seed=3 acc=0.9150 (ntr=160 nval=40 nte=200)
2026-06-09 08:43:02 | INFO    | train_session_alignment | [align] riemannian_alignment   eegnet      single_sub-011_ses02-to-ses01 seed=3 acc=0.5700 (ntr=160 nval=40 nte=200)
2026-06-09 08:43:07 | INFO    | train_session_alignment | [align] riemannian_alignment   eegnet      single_sub-011_ses02-to-ses03 seed=3 acc=0.6050 (ntr=160 nval=40 nte=200)
2026-06-09 08:43:13 | INFO    | train_session_alignment | [align] riemannian_alignment   eegnet      single_sub-011_ses03-to-ses01 seed=3 acc=0.8750 (ntr=160 nval=40 nte=200)
2026-06-09 08:43:19 | INFO    | train_session_alignment | [align] riemannian_alignment   eegnet      single_sub-011_ses03-to-ses02 seed=3 acc=0.7200 (ntr=160 nval=40 nte=200)
2026-06-09 08:43:25 | INFO    | train_session_alignment | [align] riemannian_alignment   eegnet      single_sub-012_ses01-to-ses02 seed=3 acc=0.4800 (ntr=160 nval=40 nte=200)
2026-06-09 08:43:30 | INFO    | train_session_alignment | [align] riemannian_alignment   eegnet      single_sub-012_ses01-to-ses03 seed=3 acc=0.5650 (ntr=160 nval=40 nte=200)
2026-06-09 08:43:35 | INFO    | train_session_alignment | [align] riemannian_alignment   eegnet      single_sub-012_ses02-to-ses01 seed=3 acc=0.5350 (ntr=160 nval=40 nte=200)
2026-06-09 08:43:40 | INFO    | train_session_alignment | [align] riemannian_alignment   eegnet      single_sub-012_ses02-to-ses03 seed=3 acc=0.5400 (ntr=160 nval=40 nte=200)
2026-06-09 08:43:45 | INFO    | train_session_alignment | [align] riemannian_alignment   eegnet      single_sub-012_ses03-to-ses01 seed=3 acc=0.5150 (ntr=160 nval=40 nte=200)
2026-06-09 08:43:51 | INFO    | train_session_alignment | [align] riemannian_alignment   eegnet      single_sub-012_ses03-to-ses02 seed=3 acc=0.4950 (ntr=160 nval=40 nte=200)
2026-06-09 08:43:56 | INFO    | train_session_alignment | [align] riemannian_alignment   eegnet      single_sub-013_ses01-to-ses02 seed=3 acc=0.6450 (ntr=160 nval=40 nte=200)
2026-06-09 08:44:01 | INFO    | train_session_alignment | [align] riemannian_alignment   eegnet      single_sub-013_ses01-to-ses03 seed=3 acc=0.5700 (ntr=160 nval=40 nte=200)
2026-06-09 08:44:08 | INFO    | train_session_alignment | [align] riemannian_alignment   eegnet      single_sub-013_ses02-to-ses01 seed=3 acc=0.6800 (ntr=160 nval=40 nte=200)
2026-06-09 08:44:16 | INFO    | train_session_alignment | [align] riemannian_alignment   eegnet      single_sub-013_ses02-to-ses03 seed=3 acc=0.6900 (ntr=160 nval=40 nte=200)
2026-06-09 08:44:23 | INFO    | train_session_alignment | [align] riemannian_alignment   eegnet      single_sub-013_ses03-to-ses01 seed=3 acc=0.6850 (ntr=160 nval=40 nte=200)
2026-06-09 08:44:30 | INFO    | train_session_alignment | [align] riemannian_alignment   eegnet      single_sub-013_ses03-to-ses02 seed=3 acc=0.7850 (ntr=160 nval=40 nte=200)
2026-06-09 08:44:35 | INFO    | train_session_alignment | [align] riemannian_alignment   eegnet      single_sub-014_ses01-to-ses02 seed=3 acc=0.5100 (ntr=160 nval=40 nte=200)
2026-06-09 08:44:40 | INFO    | train_session_alignment | [align] riemannian_alignment   eegnet      single_sub-014_ses01-to-ses03 seed=3 acc=0.4650 (ntr=160 nval=40 nte=200)
2026-06-09 08:44:46 | INFO    | train_session_alignment | [align] riemannian_alignment   eegnet      single_sub-014_ses02-to-ses01 seed=3 acc=0.4300 (ntr=160 nval=40 nte=200)
2026-06-09 08:44:51 | INFO    | train_session_alignment | [align] riemannian_alignment   eegnet      single_sub-014_ses02-to-ses03 seed=3 acc=0.4650 (ntr=160 nval=40 nte=200)
2026-06-09 08:44:56 | INFO    | train_session_alignment | [align] riemannian_alignment   eegnet      single_sub-014_ses03-to-ses01 seed=3 acc=0.4700 (ntr=160 nval=40 nte=200)
2026-06-09 08:45:01 | INFO    | train_session_alignment | [align] riemannian_alignment   eegnet      single_sub-014_ses03-to-ses02 seed=3 acc=0.5050 (ntr=160 nval=40 nte=200)
2026-06-09 08:45:08 | INFO    | train_session_alignment | [align] riemannian_alignment   eegnet      single_sub-015_ses01-to-ses02 seed=3 acc=0.6400 (ntr=160 nval=40 nte=200)
2026-06-09 08:45:15 | INFO    | train_session_alignment | [align] riemannian_alignment   eegnet      single_sub-015_ses01-to-ses03 seed=3 acc=0.6050 (ntr=160 nval=40 nte=200)
2026-06-09 08:45:22 | INFO    | train_session_alignment | [align] riemannian_alignment   eegnet      single_sub-015_ses02-to-ses01 seed=3 acc=0.5800 (ntr=160 nval=40 nte=200)
2026-06-09 08:45:29 | INFO    | train_session_alignment | [align] riemannian_alignment   eegnet      single_sub-015_ses02-to-ses03 seed=3 acc=0.6750 (ntr=160 nval=40 nte=200)
2026-06-09 08:45:47 | INFO    | train_session_alignment | [align] riemannian_alignment   eegnet      single_sub-015_ses03-to-ses01 seed=3 acc=0.6550 (ntr=160 nval=40 nte=200)
2026-06-09 08:46:05 | INFO    | train_session_alignment | [align] riemannian_alignment   eegnet      single_sub-015_ses03-to-ses02 seed=3 acc=0.7150 (ntr=160 nval=40 nte=200)
2026-06-09 08:46:12 | INFO    | train_session_alignment | [align] riemannian_alignment   eegnet      single_sub-016_ses01-to-ses02 seed=3 acc=0.5150 (ntr=160 nval=40 nte=200)
2026-06-09 08:46:18 | INFO    | train_session_alignment | [align] riemannian_alignment   eegnet      single_sub-016_ses01-to-ses03 seed=3 acc=0.5050 (ntr=160 nval=40 nte=200)
2026-06-09 08:46:24 | INFO    | train_session_alignment | [align] riemannian_alignment   eegnet      single_sub-016_ses02-to-ses01 seed=3 acc=0.5000 (ntr=160 nval=40 nte=200)
2026-06-09 08:46:29 | INFO    | train_session_alignment | [align] riemannian_alignment   eegnet      single_sub-016_ses02-to-ses03 seed=3 acc=0.5100 (ntr=160 nval=40 nte=200)
2026-06-09 08:46:34 | INFO    | train_session_alignment | [align] riemannian_alignment   eegnet      single_sub-016_ses03-to-ses01 seed=3 acc=0.4950 (ntr=160 nval=40 nte=200)
2026-06-09 08:46:39 | INFO    | train_session_alignment | [align] riemannian_alignment   eegnet      single_sub-016_ses03-to-ses02 seed=3 acc=0.5050 (ntr=160 nval=40 nte=200)
2026-06-09 08:46:47 | INFO    | train_session_alignment | [align] riemannian_alignment   eegnet      single_sub-017_ses01-to-ses02 seed=3 acc=0.7300 (ntr=160 nval=40 nte=200)
2026-06-09 08:46:55 | INFO    | train_session_alignment | [align] riemannian_alignment   eegnet      single_sub-017_ses01-to-ses03 seed=3 acc=0.7000 (ntr=160 nval=40 nte=200)
2026-06-09 08:47:02 | INFO    | train_session_alignment | [align] riemannian_alignment   eegnet      single_sub-017_ses02-to-ses01 seed=3 acc=0.7150 (ntr=160 nval=40 nte=200)
2026-06-09 08:47:09 | INFO    | train_session_alignment | [align] riemannian_alignment   eegnet      single_sub-017_ses02-to-ses03 seed=3 acc=0.7900 (ntr=160 nval=40 nte=200)
