Project: /share/home/yuan/SYX/eeg-mi-online
Env    : mi_torch_cu118
Args   : --methods riemannian_alignment --models fbcnet --seeds 4 --protocols single,multi --tag-suffix riemannian_alignment_fbcnet_s4
Node   : gpu01 | Start: Tue Jun  9 11:15:34 CST 2026
Tue Jun  9 11:15:34 2026       
+-----------------------------------------------------------------------------------------+
| NVIDIA-SMI 570.153.02             Driver Version: 570.153.02     CUDA Version: 12.8     |
|-----------------------------------------+------------------------+----------------------+
| GPU  Name                 Persistence-M | Bus-Id          Disp.A | Volatile Uncorr. ECC |
| Fan  Temp   Perf          Pwr:Usage/Cap |           Memory-Usage | GPU-Util  Compute M. |
|                                         |                        |               MIG M. |
|=========================================+========================+======================|
|   0  NVIDIA GeForce RTX 4090 D      On  |   00000000:41:00.0 Off |                  Off |
| 43%   45C    P0             59W /  425W |       1MiB /  24564MiB |      0%      Default |
|                                         |                        |                  N/A |
+-----------------------------------------+------------------------+----------------------+
                                                                                         
+-----------------------------------------------------------------------------------------+
| Processes:                                                                              |
|  GPU   GI   CI              PID   Type   Process name                        GPU Memory |
|        ID   ID                                                               Usage      |
|=========================================================================================|
|  No running processes found                                                             |
+-----------------------------------------------------------------------------------------+
[cuda-check] torch=2.7.1+cu118 cuda_build=11.8 cuda_avail=True
2026-06-09 11:23:35 | INFO    | train_session_alignment | [align] riemannian_alignment   fbcnet      single_sub-006_ses03-to-ses02 seed=4 acc=0.8650 (ntr=160 nval=40 nte=200)
2026-06-09 11:23:41 | INFO    | train_session_alignment | [align] riemannian_alignment   fbcnet      single_sub-007_ses01-to-ses02 seed=4 acc=0.5050 (ntr=160 nval=40 nte=200)
2026-06-09 11:23:47 | INFO    | train_session_alignment | [align] riemannian_alignment   fbcnet      single_sub-007_ses01-to-ses03 seed=4 acc=0.5000 (ntr=160 nval=40 nte=200)
2026-06-09 11:23:58 | INFO    | train_session_alignment | [align] riemannian_alignment   fbcnet      single_sub-007_ses02-to-ses01 seed=4 acc=0.6250 (ntr=160 nval=40 nte=200)
2026-06-09 11:24:10 | INFO    | train_session_alignment | [align] riemannian_alignment   fbcnet      single_sub-007_ses02-to-ses03 seed=4 acc=0.6100 (ntr=160 nval=40 nte=200)
2026-06-09 11:24:20 | INFO    | train_session_alignment | [align] riemannian_alignment   fbcnet      single_sub-007_ses03-to-ses01 seed=4 acc=0.5150 (ntr=160 nval=40 nte=200)
2026-06-09 11:24:30 | INFO    | train_session_alignment | [align] riemannian_alignment   fbcnet      single_sub-007_ses03-to-ses02 seed=4 acc=0.5850 (ntr=160 nval=40 nte=200)
2026-06-09 11:24:42 | INFO    | train_session_alignment | [align] riemannian_alignment   fbcnet      single_sub-008_ses01-to-ses02 seed=4 acc=0.6100 (ntr=160 nval=40 nte=200)
2026-06-09 11:24:54 | INFO    | train_session_alignment | [align] riemannian_alignment   fbcnet      single_sub-008_ses01-to-ses03 seed=4 acc=0.6050 (ntr=160 nval=40 nte=200)
2026-06-09 11:25:06 | INFO    | train_session_alignment | [align] riemannian_alignment   fbcnet      single_sub-008_ses02-to-ses01 seed=4 acc=0.6700 (ntr=160 nval=40 nte=200)
