Project: /share/home/yuan/SYX/eeg-mi-online
Env    : mi_torch_cu118
Args   : --methods bn_statistics_adaptation --models eegnet --seeds 2 --protocols single,multi --tag-suffix bn_statistics_adaptation_eegnet_s2
Node   : gpu01 | Start: Tue Jun  9 11:34:23 CST 2026
Tue Jun  9 11:34:24 2026       
+-----------------------------------------------------------------------------------------+
| NVIDIA-SMI 570.153.02             Driver Version: 570.153.02     CUDA Version: 12.8     |
|-----------------------------------------+------------------------+----------------------+
| GPU  Name                 Persistence-M | Bus-Id          Disp.A | Volatile Uncorr. ECC |
| Fan  Temp   Perf          Pwr:Usage/Cap |           Memory-Usage | GPU-Util  Compute M. |
|                                         |                        |               MIG M. |
|=========================================+========================+======================|
|   0  NVIDIA GeForce RTX 4090 D      On  |   00000000:61:00.0 Off |                  Off |
| 31%   43C    P0             58W /  425W |       1MiB /  24564MiB |     10%      Default |
|                                         |                        |                  N/A |
+-----------------------------------------+------------------------+----------------------+
                                                                                         
+-----------------------------------------------------------------------------------------+
| Processes:                                                                              |
|  GPU   GI   CI              PID   Type   Process name                        GPU Memory |
|        ID   ID                                                               Usage      |
|=========================================================================================|
|  No running processes found                                                             |
+-----------------------------------------------------------------------------------------+
[cuda-check] torch=2.7.1+cu118 cuda_build=11.8 cuda_avail=True
2026-06-09 11:38:04 | INFO    | train_session_alignment | [align] bn_statistics_adaptation eegnet      single_sub-005_ses01-to-ses02 seed=2 acc=0.9250 (ntr=160 nval=40 nte=200)
2026-06-09 11:38:16 | INFO    | train_session_alignment | [align] bn_statistics_adaptation eegnet      single_sub-005_ses01-to-ses03 seed=2 acc=0.6500 (ntr=160 nval=40 nte=200)
2026-06-09 11:38:27 | INFO    | train_session_alignment | [align] bn_statistics_adaptation eegnet      single_sub-005_ses02-to-ses01 seed=2 acc=0.8600 (ntr=160 nval=40 nte=200)
2026-06-09 11:38:38 | INFO    | train_session_alignment | [align] bn_statistics_adaptation eegnet      single_sub-005_ses02-to-ses03 seed=2 acc=0.7150 (ntr=160 nval=40 nte=200)
2026-06-09 11:38:43 | INFO    | train_session_alignment | [align] bn_statistics_adaptation eegnet      single_sub-005_ses03-to-ses01 seed=2 acc=0.6050 (ntr=160 nval=40 nte=200)
2026-06-09 11:38:48 | INFO    | train_session_alignment | [align] bn_statistics_adaptation eegnet      single_sub-005_ses03-to-ses02 seed=2 acc=0.5750 (ntr=160 nval=40 nte=200)
2026-06-09 11:38:54 | INFO    | train_session_alignment | [align] bn_statistics_adaptation eegnet      single_sub-006_ses01-to-ses02 seed=2 acc=0.9500 (ntr=160 nval=40 nte=200)
2026-06-09 11:39:01 | INFO    | train_session_alignment | [align] bn_statistics_adaptation eegnet      single_sub-006_ses01-to-ses03 seed=2 acc=0.9650 (ntr=160 nval=40 nte=200)
2026-06-09 11:39:18 | INFO    | train_session_alignment | [align] bn_statistics_adaptation eegnet      single_sub-006_ses02-to-ses01 seed=2 acc=0.7900 (ntr=160 nval=40 nte=200)
2026-06-09 11:39:36 | INFO    | train_session_alignment | [align] bn_statistics_adaptation eegnet      single_sub-006_ses02-to-ses03 seed=2 acc=0.7650 (ntr=160 nval=40 nte=200)
