Project: /share/home/yuan/SYX/eeg-mi-online
Env    : mi_torch_cu118
Args   : --methods riemannian_alignment --models deepconvnet --seeds 0 --protocols single,multi --tag-suffix riemannian_alignment_deepconvnet_s0
Node   : gpu01 | Start: Tue Jun  9 08:44:14 CST 2026
Tue Jun  9 08:44:14 2026       
+-----------------------------------------------------------------------------------------+
| NVIDIA-SMI 570.153.02             Driver Version: 570.153.02     CUDA Version: 12.8     |
|-----------------------------------------+------------------------+----------------------+
| GPU  Name                 Persistence-M | Bus-Id          Disp.A | Volatile Uncorr. ECC |
| Fan  Temp   Perf          Pwr:Usage/Cap |           Memory-Usage | GPU-Util  Compute M. |
|                                         |                        |               MIG M. |
|=========================================+========================+======================|
|   0  NVIDIA GeForce RTX 4090 D      On  |   00000000:21:00.0 Off |                  Off |
| 35%   44C    P0             66W /  425W |       1MiB /  24564MiB |      0%      Default |
|                                         |                        |                  N/A |
+-----------------------------------------+------------------------+----------------------+
                                                                                         
+-----------------------------------------------------------------------------------------+
| Processes:                                                                              |
|  GPU   GI   CI              PID   Type   Process name                        GPU Memory |
|        ID   ID                                                               Usage      |
|=========================================================================================|
|  No running processes found                                                             |
+-----------------------------------------------------------------------------------------+
[cuda-check] torch=2.7.1+cu118 cuda_build=11.8 cuda_avail=True
2026-06-09 08:47:05 | INFO    | train_session_alignment | [align] riemannian_alignment   deepconvnet single_sub-005_ses01-to-ses03 seed=0 acc=0.6000 (ntr=160 nval=40 nte=200)
2026-06-09 08:47:12 | INFO    | train_session_alignment | [align] riemannian_alignment   deepconvnet single_sub-005_ses02-to-ses01 seed=0 acc=0.7200 (ntr=160 nval=40 nte=200)
2026-06-09 08:47:19 | INFO    | train_session_alignment | [align] riemannian_alignment   deepconvnet single_sub-005_ses02-to-ses03 seed=0 acc=0.5650 (ntr=160 nval=40 nte=200)
2026-06-09 08:47:25 | INFO    | train_session_alignment | [align] riemannian_alignment   deepconvnet single_sub-005_ses03-to-ses01 seed=0 acc=0.5000 (ntr=160 nval=40 nte=200)
2026-06-09 08:47:31 | INFO    | train_session_alignment | [align] riemannian_alignment   deepconvnet single_sub-005_ses03-to-ses02 seed=0 acc=0.4950 (ntr=160 nval=40 nte=200)
2026-06-09 08:47:42 | INFO    | train_session_alignment | [align] riemannian_alignment   deepconvnet single_sub-006_ses01-to-ses02 seed=0 acc=0.8250 (ntr=160 nval=40 nte=200)
2026-06-09 08:47:53 | INFO    | train_session_alignment | [align] riemannian_alignment   deepconvnet single_sub-006_ses01-to-ses03 seed=0 acc=0.8850 (ntr=160 nval=40 nte=200)
2026-06-09 08:47:59 | INFO    | train_session_alignment | [align] riemannian_alignment   deepconvnet single_sub-006_ses02-to-ses01 seed=0 acc=0.8050 (ntr=160 nval=40 nte=200)
2026-06-09 08:48:05 | INFO    | train_session_alignment | [align] riemannian_alignment   deepconvnet single_sub-006_ses02-to-ses03 seed=0 acc=0.8300 (ntr=160 nval=40 nte=200)
2026-06-09 08:48:13 | INFO    | train_session_alignment | [align] riemannian_alignment   deepconvnet single_sub-006_ses03-to-ses01 seed=0 acc=0.7950 (ntr=160 nval=40 nte=200)
2026-06-09 08:48:21 | INFO    | train_session_alignment | [align] riemannian_alignment   deepconvnet single_sub-006_ses03-to-ses02 seed=0 acc=0.7300 (ntr=160 nval=40 nte=200)
2026-06-09 08:48:30 | INFO    | train_session_alignment | [align] riemannian_alignment   deepconvnet single_sub-007_ses01-to-ses02 seed=0 acc=0.7200 (ntr=160 nval=40 nte=200)
2026-06-09 08:48:40 | INFO    | train_session_alignment | [align] riemannian_alignment   deepconvnet single_sub-007_ses01-to-ses03 seed=0 acc=0.6300 (ntr=160 nval=40 nte=200)
2026-06-09 08:48:46 | INFO    | train_session_alignment | [align] riemannian_alignment   deepconvnet single_sub-007_ses02-to-ses01 seed=0 acc=0.6450 (ntr=160 nval=40 nte=200)
2026-06-09 08:48:52 | INFO    | train_session_alignment | [align] riemannian_alignment   deepconvnet single_sub-007_ses02-to-ses03 seed=0 acc=0.8150 (ntr=160 nval=40 nte=200)
2026-06-09 08:48:59 | INFO    | train_session_alignment | [align] riemannian_alignment   deepconvnet single_sub-007_ses03-to-ses01 seed=0 acc=0.6450 (ntr=160 nval=40 nte=200)
2026-06-09 08:49:05 | INFO    | train_session_alignment | [align] riemannian_alignment   deepconvnet single_sub-007_ses03-to-ses02 seed=0 acc=0.7550 (ntr=160 nval=40 nte=200)
2026-06-09 08:49:11 | INFO    | train_session_alignment | [align] riemannian_alignment   deepconvnet single_sub-008_ses01-to-ses02 seed=0 acc=0.5550 (ntr=160 nval=40 nte=200)
2026-06-09 08:49:17 | INFO    | train_session_alignment | [align] riemannian_alignment   deepconvnet single_sub-008_ses01-to-ses03 seed=0 acc=0.4850 (ntr=160 nval=40 nte=200)
2026-06-09 08:49:26 | INFO    | train_session_alignment | [align] riemannian_alignment   deepconvnet single_sub-008_ses02-to-ses01 seed=0 acc=0.5650 (ntr=160 nval=40 nte=200)
2026-06-09 08:49:35 | INFO    | train_session_alignment | [align] riemannian_alignment   deepconvnet single_sub-008_ses02-to-ses03 seed=0 acc=0.7450 (ntr=160 nval=40 nte=200)
2026-06-09 08:49:43 | INFO    | train_session_alignment | [align] riemannian_alignment   deepconvnet single_sub-008_ses03-to-ses01 seed=0 acc=0.5100 (ntr=160 nval=40 nte=200)
2026-06-09 08:49:51 | INFO    | train_session_alignment | [align] riemannian_alignment   deepconvnet single_sub-008_ses03-to-ses02 seed=0 acc=0.5750 (ntr=160 nval=40 nte=200)
2026-06-09 08:49:57 | INFO    | train_session_alignment | [align] riemannian_alignment   deepconvnet single_sub-009_ses01-to-ses02 seed=0 acc=0.6050 (ntr=160 nval=40 nte=200)
2026-06-09 08:50:03 | INFO    | train_session_alignment | [align] riemannian_alignment   deepconvnet single_sub-009_ses01-to-ses03 seed=0 acc=0.5750 (ntr=160 nval=40 nte=200)
2026-06-09 08:50:10 | INFO    | train_session_alignment | [align] riemannian_alignment   deepconvnet single_sub-009_ses02-to-ses01 seed=0 acc=0.6100 (ntr=160 nval=40 nte=200)
2026-06-09 08:50:16 | INFO    | train_session_alignment | [align] riemannian_alignment   deepconvnet single_sub-009_ses02-to-ses03 seed=0 acc=0.5650 (ntr=160 nval=40 nte=200)
2026-06-09 08:50:22 | INFO    | train_session_alignment | [align] riemannian_alignment   deepconvnet single_sub-009_ses03-to-ses01 seed=0 acc=0.6300 (ntr=160 nval=40 nte=200)
2026-06-09 08:50:28 | INFO    | train_session_alignment | [align] riemannian_alignment   deepconvnet single_sub-009_ses03-to-ses02 seed=0 acc=0.5800 (ntr=160 nval=40 nte=200)
2026-06-09 08:50:34 | INFO    | train_session_alignment | [align] riemannian_alignment   deepconvnet single_sub-010_ses01-to-ses02 seed=0 acc=0.6100 (ntr=160 nval=40 nte=200)
2026-06-09 08:50:41 | INFO    | train_session_alignment | [align] riemannian_alignment   deepconvnet single_sub-010_ses01-to-ses03 seed=0 acc=0.5100 (ntr=160 nval=40 nte=200)
2026-06-09 08:50:48 | INFO    | train_session_alignment | [align] riemannian_alignment   deepconvnet single_sub-010_ses02-to-ses01 seed=0 acc=0.6300 (ntr=160 nval=40 nte=200)
2026-06-09 08:50:56 | INFO    | train_session_alignment | [align] riemannian_alignment   deepconvnet single_sub-010_ses02-to-ses03 seed=0 acc=0.5400 (ntr=160 nval=40 nte=200)
2026-06-09 08:51:02 | INFO    | train_session_alignment | [align] riemannian_alignment   deepconvnet single_sub-010_ses03-to-ses01 seed=0 acc=0.4950 (ntr=160 nval=40 nte=200)
2026-06-09 08:51:08 | INFO    | train_session_alignment | [align] riemannian_alignment   deepconvnet single_sub-010_ses03-to-ses02 seed=0 acc=0.5650 (ntr=160 nval=40 nte=200)
2026-06-09 08:51:14 | INFO    | train_session_alignment | [align] riemannian_alignment   deepconvnet single_sub-011_ses01-to-ses02 seed=0 acc=0.6550 (ntr=160 nval=40 nte=200)
2026-06-09 08:51:20 | INFO    | train_session_alignment | [align] riemannian_alignment   deepconvnet single_sub-011_ses01-to-ses03 seed=0 acc=0.8650 (ntr=160 nval=40 nte=200)
2026-06-09 08:51:27 | INFO    | train_session_alignment | [align] riemannian_alignment   deepconvnet single_sub-011_ses02-to-ses01 seed=0 acc=0.7400 (ntr=160 nval=40 nte=200)
2026-06-09 08:51:34 | INFO    | train_session_alignment | [align] riemannian_alignment   deepconvnet single_sub-011_ses02-to-ses03 seed=0 acc=0.7650 (ntr=160 nval=40 nte=200)
2026-06-09 08:51:53 | INFO    | train_session_alignment | [align] riemannian_alignment   deepconvnet single_sub-011_ses03-to-ses01 seed=0 acc=0.8050 (ntr=160 nval=40 nte=200)
2026-06-09 08:52:13 | INFO    | train_session_alignment | [align] riemannian_alignment   deepconvnet single_sub-011_ses03-to-ses02 seed=0 acc=0.6600 (ntr=160 nval=40 nte=200)
2026-06-09 08:52:19 | INFO    | train_session_alignment | [align] riemannian_alignment   deepconvnet single_sub-012_ses01-to-ses02 seed=0 acc=0.5150 (ntr=160 nval=40 nte=200)
2026-06-09 08:52:26 | INFO    | train_session_alignment | [align] riemannian_alignment   deepconvnet single_sub-012_ses01-to-ses03 seed=0 acc=0.5150 (ntr=160 nval=40 nte=200)
2026-06-09 08:52:32 | INFO    | train_session_alignment | [align] riemannian_alignment   deepconvnet single_sub-012_ses02-to-ses01 seed=0 acc=0.4900 (ntr=160 nval=40 nte=200)
2026-06-09 08:52:38 | INFO    | train_session_alignment | [align] riemannian_alignment   deepconvnet single_sub-012_ses02-to-ses03 seed=0 acc=0.5000 (ntr=160 nval=40 nte=200)
2026-06-09 08:52:44 | INFO    | train_session_alignment | [align] riemannian_alignment   deepconvnet single_sub-012_ses03-to-ses01 seed=0 acc=0.4950 (ntr=160 nval=40 nte=200)
2026-06-09 08:52:50 | INFO    | train_session_alignment | [align] riemannian_alignment   deepconvnet single_sub-012_ses03-to-ses02 seed=0 acc=0.5050 (ntr=160 nval=40 nte=200)
2026-06-09 08:52:56 | INFO    | train_session_alignment | [align] riemannian_alignment   deepconvnet single_sub-013_ses01-to-ses02 seed=0 acc=0.6900 (ntr=160 nval=40 nte=200)
2026-06-09 08:53:02 | INFO    | train_session_alignment | [align] riemannian_alignment   deepconvnet single_sub-013_ses01-to-ses03 seed=0 acc=0.6350 (ntr=160 nval=40 nte=200)
2026-06-09 08:53:13 | INFO    | train_session_alignment | [align] riemannian_alignment   deepconvnet single_sub-013_ses02-to-ses01 seed=0 acc=0.5950 (ntr=160 nval=40 nte=200)
2026-06-09 08:53:24 | INFO    | train_session_alignment | [align] riemannian_alignment   deepconvnet single_sub-013_ses02-to-ses03 seed=0 acc=0.6650 (ntr=160 nval=40 nte=200)
2026-06-09 08:53:31 | INFO    | train_session_alignment | [align] riemannian_alignment   deepconvnet single_sub-013_ses03-to-ses01 seed=0 acc=0.6900 (ntr=160 nval=40 nte=200)
2026-06-09 08:53:37 | INFO    | train_session_alignment | [align] riemannian_alignment   deepconvnet single_sub-013_ses03-to-ses02 seed=0 acc=0.7750 (ntr=160 nval=40 nte=200)
2026-06-09 08:53:43 | INFO    | train_session_alignment | [align] riemannian_alignment   deepconvnet single_sub-014_ses01-to-ses02 seed=0 acc=0.4900 (ntr=160 nval=40 nte=200)
2026-06-09 08:53:49 | INFO    | train_session_alignment | [align] riemannian_alignment   deepconvnet single_sub-014_ses01-to-ses03 seed=0 acc=0.5100 (ntr=160 nval=40 nte=200)
2026-06-09 08:53:57 | INFO    | train_session_alignment | [align] riemannian_alignment   deepconvnet single_sub-014_ses02-to-ses01 seed=0 acc=0.5050 (ntr=160 nval=40 nte=200)
2026-06-09 08:54:04 | INFO    | train_session_alignment | [align] riemannian_alignment   deepconvnet single_sub-014_ses02-to-ses03 seed=0 acc=0.4950 (ntr=160 nval=40 nte=200)
2026-06-09 08:54:10 | INFO    | train_session_alignment | [align] riemannian_alignment   deepconvnet single_sub-014_ses03-to-ses01 seed=0 acc=0.4750 (ntr=160 nval=40 nte=200)
2026-06-09 08:54:16 | INFO    | train_session_alignment | [align] riemannian_alignment   deepconvnet single_sub-014_ses03-to-ses02 seed=0 acc=0.4750 (ntr=160 nval=40 nte=200)
2026-06-09 08:54:23 | INFO    | train_session_alignment | [align] riemannian_alignment   deepconvnet single_sub-015_ses01-to-ses02 seed=0 acc=0.5350 (ntr=160 nval=40 nte=200)
2026-06-09 08:54:29 | INFO    | train_session_alignment | [align] riemannian_alignment   deepconvnet single_sub-015_ses01-to-ses03 seed=0 acc=0.5500 (ntr=160 nval=40 nte=200)
2026-06-09 08:54:36 | INFO    | train_session_alignment | [align] riemannian_alignment   deepconvnet single_sub-015_ses02-to-ses01 seed=0 acc=0.5250 (ntr=160 nval=40 nte=200)
2026-06-09 08:54:42 | INFO    | train_session_alignment | [align] riemannian_alignment   deepconvnet single_sub-015_ses02-to-ses03 seed=0 acc=0.5050 (ntr=160 nval=40 nte=200)
2026-06-09 08:54:50 | INFO    | train_session_alignment | [align] riemannian_alignment   deepconvnet single_sub-015_ses03-to-ses01 seed=0 acc=0.5900 (ntr=160 nval=40 nte=200)
2026-06-09 08:54:59 | INFO    | train_session_alignment | [align] riemannian_alignment   deepconvnet single_sub-015_ses03-to-ses02 seed=0 acc=0.6150 (ntr=160 nval=40 nte=200)
2026-06-09 08:55:09 | INFO    | train_session_alignment | [align] riemannian_alignment   deepconvnet single_sub-016_ses01-to-ses02 seed=0 acc=0.5100 (ntr=160 nval=40 nte=200)
2026-06-09 08:55:19 | INFO    | train_session_alignment | [align] riemannian_alignment   deepconvnet single_sub-016_ses01-to-ses03 seed=0 acc=0.5000 (ntr=160 nval=40 nte=200)
2026-06-09 08:55:25 | INFO    | train_session_alignment | [align] riemannian_alignment   deepconvnet single_sub-016_ses02-to-ses01 seed=0 acc=0.4750 (ntr=160 nval=40 nte=200)
2026-06-09 08:55:31 | INFO    | train_session_alignment | [align] riemannian_alignment   deepconvnet single_sub-016_ses02-to-ses03 seed=0 acc=0.4800 (ntr=160 nval=40 nte=200)
2026-06-09 08:55:37 | INFO    | train_session_alignment | [align] riemannian_alignment   deepconvnet single_sub-016_ses03-to-ses01 seed=0 acc=0.5750 (ntr=160 nval=40 nte=200)
2026-06-09 08:55:43 | INFO    | train_session_alignment | [align] riemannian_alignment   deepconvnet single_sub-016_ses03-to-ses02 seed=0 acc=0.4900 (ntr=160 nval=40 nte=200)
2026-06-09 08:55:51 | INFO    | train_session_alignment | [align] riemannian_alignment   deepconvnet single_sub-017_ses01-to-ses02 seed=0 acc=0.7300 (ntr=160 nval=40 nte=200)
2026-06-09 08:55:59 | INFO    | train_session_alignment | [align] riemannian_alignment   deepconvnet single_sub-017_ses01-to-ses03 seed=0 acc=0.6900 (ntr=160 nval=40 nte=200)
2026-06-09 08:56:06 | INFO    | train_session_alignment | [align] riemannian_alignment   deepconvnet single_sub-017_ses02-to-ses01 seed=0 acc=0.6450 (ntr=160 nval=40 nte=200)
2026-06-09 08:56:13 | INFO    | train_session_alignment | [align] riemannian_alignment   deepconvnet single_sub-017_ses02-to-ses03 seed=0 acc=0.7550 (ntr=160 nval=40 nte=200)
2026-06-09 08:56:19 | INFO    | train_session_alignment | [align] riemannian_alignment   deepconvnet single_sub-017_ses03-to-ses01 seed=0 acc=0.6100 (ntr=160 nval=40 nte=200)
2026-06-09 08:56:25 | INFO    | train_session_alignment | [align] riemannian_alignment   deepconvnet single_sub-017_ses03-to-ses02 seed=0 acc=0.6150 (ntr=160 nval=40 nte=200)
2026-06-09 08:56:35 | INFO    | train_session_alignment | [align] riemannian_alignment   deepconvnet single_sub-018_ses01-to-ses02 seed=0 acc=0.6250 (ntr=160 nval=40 nte=200)
2026-06-09 08:56:45 | INFO    | train_session_alignment | [align] riemannian_alignment   deepconvnet single_sub-018_ses01-to-ses03 seed=0 acc=0.5250 (ntr=160 nval=40 nte=200)
2026-06-09 08:56:53 | INFO    | train_session_alignment | [align] riemannian_alignment   deepconvnet single_sub-018_ses02-to-ses01 seed=0 acc=0.6300 (ntr=160 nval=40 nte=200)
2026-06-09 08:57:00 | INFO    | train_session_alignment | [align] riemannian_alignment   deepconvnet single_sub-018_ses02-to-ses03 seed=0 acc=0.5400 (ntr=160 nval=40 nte=200)
2026-06-09 08:57:06 | INFO    | train_session_alignment | [align] riemannian_alignment   deepconvnet single_sub-018_ses03-to-ses01 seed=0 acc=0.6300 (ntr=160 nval=40 nte=200)
2026-06-09 08:57:12 | INFO    | train_session_alignment | [align] riemannian_alignment   deepconvnet single_sub-018_ses03-to-ses02 seed=0 acc=0.5250 (ntr=160 nval=40 nte=200)
2026-06-09 08:57:18 | INFO    | train_session_alignment | [align] riemannian_alignment   deepconvnet single_sub-019_ses01-to-ses02 seed=0 acc=0.5750 (ntr=160 nval=40 nte=200)
2026-06-09 08:57:24 | INFO    | train_session_alignment | [align] riemannian_alignment   deepconvnet single_sub-019_ses01-to-ses03 seed=0 acc=0.6050 (ntr=160 nval=40 nte=200)
2026-06-09 08:57:31 | INFO    | train_session_alignment | [align] riemannian_alignment   deepconvnet single_sub-019_ses02-to-ses01 seed=0 acc=0.5200 (ntr=160 nval=40 nte=200)
2026-06-09 08:57:38 | INFO    | train_session_alignment | [align] riemannian_alignment   deepconvnet single_sub-019_ses02-to-ses03 seed=0 acc=0.7800 (ntr=160 nval=40 nte=200)
2026-06-09 08:57:46 | INFO    | train_session_alignment | [align] riemannian_alignment   deepconvnet single_sub-019_ses03-to-ses01 seed=0 acc=0.5900 (ntr=160 nval=40 nte=200)
2026-06-09 08:57:53 | INFO    | train_session_alignment | [align] riemannian_alignment   deepconvnet single_sub-019_ses03-to-ses02 seed=0 acc=0.7500 (ntr=160 nval=40 nte=200)
